index,arousal,contrast,dominance,pleasure,symmetry,height,width,hsv_itten_std_h,hsv_itten_std_s,hsv_itten_std_v,lat,long,orientation,day,hour,has_zebra
8370,-0.06930693542815453,1.596433804434024,0.5671641042465505,0.49928202955085677,8.101394199159875,2848,4272,136671.36621127176,166163.8193771436,130230.77098323916,-1.3377447341862811,36.81257241942064,1,25,9,1
8371,-0.0702223162283967,1.647189653093102,0.5543983814345161,0.488283169448065,8.275617050879488,2848,4272,128897.80840672026,161537.39584133454,132233.1378344912,-1.3377447361225048,36.81257241287042,1,25,9,1
8372,-0.05762170113194587,1.7180292721132324,0.5395985359727135,0.47421278318932764,7.029696216238817,2848,4272,120009.87966992089,158652.53150202174,119162.27225184246,-1.3377447457889042,36.812572380640226,1,25,9,1
8373,-0.07094534591378954,1.6383246609170103,0.5491480426069413,0.48379296953538575,7.854957963775979,2848,4272,121543.20685551382,188042.5745750148,125931.85787648105,-1.3377447516108916,36.812572361287884,1,25,9,1
8374,-0.06120682256194343,1.71872149611225,0.5530298073850977,0.486224169327115,7.278974328225377,2848,4272,126419.30442666667,173842.50824352485,130183.1233924821,-1.3377447574334898,36.81257234194304,1,25,9,1
8375,-0.06553882621294382,1.7044133060501812,0.5434725631962727,0.47834177063807,7.10002222370651,2848,4272,113003.92230016718,163312.87206096156,134047.46010358504,-1.337744761296163,36.81257232899359,1,25,9,1
8376,-0.06484288369576308,1.6828394952552428,0.5451440357361903,0.4797262834979896,7.410364226244899,2848,4272,113996.02441776449,163327.4649530813,126586.96033513438,-1.3377447671209612,36.8125723097441,1,25,9,1
8377,-0.049635348567245746,1.7755550489073175,0.5300218608152865,0.4651242722772614,7.632110992355728,2848,4272,114283.74613240307,172768.02091822433,124334.43470557766,-1.3377447709634676,36.81257229677827,1,25,9,1
8378,-0.051544639967779804,1.7823589531724942,0.5284855355571789,0.4639742758428398,7.790437499091754,2848,4272,113803.07296988466,170537.64455626797,121185.6819219535,-1.337744772913903,36.81257229032885,1,25,9,1
838,-0.016810181198731372,1.4805628259682226,0.6787636787592518,0.5911398984329309,10.028483661665124,3456,5184,128373.20782412332,97392.726804418,159163.01916867777,-1.347871,36.811911,1,1,17,0
8380,-0.047125669386851976,1.7560861899955287,0.5337510551621045,0.4681208477635123,8.213237593280006,2848,4272,120220.416610722,180361.7524521205,126608.0726344976,-1.3377447767784516,36.81257227734901,1,25,9,1
8381,-0.052831624573614566,1.7298718193321891,0.5459195897875277,0.47924027606752806,7.660530337379846,2848,4272,121020.1334016599,178907.688271913,123657.16358096237,-1.33774478064168,36.8125722645234,1,25,9,1
8382,-0.05474772264409311,1.6908500598738883,0.553244831965443,0.4857873485364913,7.225128699593636,2848,4272,120053.83638416375,179988.40883234676,126776.83661808608,-1.337744784528704,36.81257225151337,1,25,9,1
8383,-0.08296496114712716,1.6723240940734843,0.5360933031783429,0.473615116552743,6.657715463201331,2848,4272,103691.5387920131,164768.28079821676,142400.4143658141,-1.3377447941503735,36.81257221933921,1,25,9,1
8384,-0.08988059342199084,1.6399945330006676,0.5444232062880581,0.48151741692997163,6.766408146924419,2848,4272,112336.46305803336,168911.417579748,141235.60378632892,-1.3377447961296771,36.81257221286418,1,25,9,1
8385,-0.0725152424355577,1.7506294079499594,0.5289186644806164,0.4663749946093284,6.972561578984071,2848,4272,124393.48426956384,161748.14823669544,140477.6798506518,-1.3377447999999998,36.812572200006834,1,25,9,1
8386,-0.0844567344837893,1.6580891235298507,0.5338707455066964,0.47182880845039643,6.782435269114037,2848,4272,117144.87667224529,167720.692458623,148661.5608360891,-1.3377487053059198,36.812584710009766,1,25,9,1
8387,-0.029371008657165854,1.9140337501594693,0.5075950836739936,0.4436899052803022,7.735587763867169,2848,4272,125951.06279380452,165744.55134453138,118225.10988317536,-1.3379020512820512,36.81306697313863,1,25,9,1
8388,-0.053351404251618995,1.7792563247167588,0.5314298665502178,0.46670590223055075,7.322929809228224,2848,4272,127460.0103394089,159303.2317650838,114493.2609787823,-1.3379181918706626,36.813114199702866,1,25,9,1
8389,-0.04432561345977598,1.8428475502897854,0.5170038315734493,0.4533052962286766,7.826532567745393,2848,4272,123763.87980096976,160683.44676786094,108365.87366981462,-1.3379343325051427,36.8131614262446,1,25,9,1
839,-0.016956428676452556,1.479864148930204,0.6794435029969424,0.5917444555514833,9.792732984879821,3456,5184,128579.15598204694,94876.06330998352,159632.8461571184,-1.347875,36.811943,1,1,17,0
8390,-0.03714220968820922,1.7966283533402427,0.5370960766994728,0.4700622309506012,6.98311497047543,2848,4272,126675.19215716848,164603.17167053616,120243.85546140069,-1.3379407887448764,36.813180316870515,1,25,9,1
8391,-0.053936111519244156,1.7904858971009816,0.5255659954720657,0.46166948594031265,8.516886610012651,2848,4272,120896.1868445633,154910.32933539324,93566.55334157727,-1.3379472449978067,36.81319920743789,1,25,9,1
8392,-0.02879767196524402,1.9509324595896789,0.4983958398958684,0.4356448653010173,8.26344504071787,2848,4272,122933.48707758826,158072.95202405754,105705.16598013973,-1.337956929360438,36.81322754339288,1,25,9,1
8393,-0.036389780233799573,1.9079921953201273,0.5081036586928002,0.44480921549387586,8.349747340866736,2848,4272,117172.96815771499,155689.91491166022,81042.72231908851,-1.337973079700334,36.813274760383386,1,25,9,1
8394,-0.08307412177446642,1.5697205268456131,0.5736016916027944,0.5062022849747457,9.589631104646932,2848,4272,123172.91994004021,157387.47538352598,140830.04684449345,-1.3379730813287514,36.81327475873458,1,25,9,1
8395,-0.03920858913873351,1.731010224380949,0.5524694783003432,0.4836137658758314,7.684956123294935,2848,4272,125471.72332530635,176514.86568218554,110378.35852597594,-1.3379730877261742,36.81327475215656,1,25,9,1
8396,-0.045341609125269744,1.8077363259633175,0.5151584052112873,0.4518006002197356,9.861110010919496,2848,4272,120474.42194115545,158826.65949770523,94107.87027071057,-1.337973092582758,36.81327474747474,1,25,9,1
8397,-0.04296887020919721,1.8328523551989107,0.522325059134648,0.45779588429023815,9.20005101919916,2848,4272,121468.99853414818,163094.56341644254,98410.68133874267,-1.3379730958114935,36.813274744230306,1,25,9,1
8398,-0.052926036230128565,1.848951334931812,0.5091847114961691,0.44734456668837824,10.385910290976849,2848,4272,120482.2904927894,156285.6399929309,89962.31486696094,-1.337973099022461,36.81327474097892,1,25,9,1
