GID,ANNOTATION_ID
282,"[15564, 15565]"
3498,"[12216, 12217]"
1670,[]
4376,[]
3616,[18514]
4748,[18171]
3338,[12560]
4844,[17897]
3415,[]
2371,[15063]
3444,[]
2757,[17100]
4367,[]
2193,[]
3554,"[8844, 8845]"
3315,[9135]
3536,"[12166, 12167]"
4339,[]
1249,"[9675, 9676]"
3050,[]
2322,[14590]
3226,[12652]
1380,[12301]
4954,[12992]
778,"[14136, 14137]"
2024,[]
2855,[9966]
1269,[]
4845,"[17899, 17900]"
1775,"[15003, 15004, 15005]"
4773,[]
856,[]
1343,[]
513,[9342]
1037,[]
3268,"[12567, 12568]"
1823,[15185]
1997,"[14441, 14442]"
2022,[14402]
3176,[]
3739,[18083]
4428,"[18566, 18567, 18568, 18569]"
4392,[]
2424,[15121]
2309,[14609]
495,[9378]
1750,[14446]
1867,[15016]
3700,"[18014, 18015]"
4692,[]
2659,[16836]
2923,"[17248, 17249, 17250, 17251]"
3941,"[18142, 18143]"
525,[]
145,[15467]
859,[15624]
1003,[]
4343,[]
3535,"[12122, 12123, 12124, 12125, 12126]"
4114,[]
788,[14178]
498,[9375]
4423,[]
4225,[]
3890,[]
3991,"[18461, 18462]"
640,[]
1929,[14703]
4535,[]
3712,[]
2625,[16854]
3486,[]
3004,[]
660,[14120]
764,[14107]
1224,[]
1130,"[13264, 13265]"
3672,[]
4065,[18195]
1931,[14360]
746,[14156]
4493,[]
4847,"[18603, 18604, 18605, 18606, 18607]"
165,[15539]
275,[15532]
4439,[10010]
2043,[]
515,[9361]
4933,"[12454, 12455]"
2821,[9934]
2228,"[15840, 15841]"
4017,[17893]
1304,"[12317, 12318, 12319]"
1971,"[14282, 14283, 14284]"
1050,[9515]
3585,[18139]
3982,"[18031, 18032]"
4056,[18296]
3426,[]
77,[13434]
972,[]
2486,[]
1595,[14863]
1732,[9520]
2117,[9532]
3512,[12169]
2313,[14947]
2304,[14651]
1642,"[14377, 14378, 14379]"
4791,[]
4906,[12435]
1125,[9163]
3661,[]
1521,[15363]
993,[]
4902,[12479]
4156,[]
730,[14250]
1390,[12388]
3183,[]
