GID,ANNOTATION_ID
8534,[11168]
8687,"[11359, 11650]"
6285,[17637]
9387,[]
7869,[]
7156,[]
8626,[11283]
5268,[]
8642,[]
5378,[]
5747,[]
8227,[]
7430,"[16395, 16396, 16397]"
7918,[]
5753,[13847]
7799,"[10167, 10168, 10169]"
7463,"[16610, 16611]"
6155,[13805]
6284,[17431]
5437,[]
8371,[10962]
5745,[]
6372,"[17446, 17447]"
9273,[12012]
8184,[]
6143,[13488]
7955,"[10412, 10413, 10414, 10415]"
5100,[15920]
5795,[]
7745,[]
6936,[9653]
5793,[13849]
6142,[13795]
5936,[15716]
7371,[9759]
7008,"[13122, 13123, 13124]"
7814,"[10191, 10192, 10193, 10194]"
8617,[11274]
5055,[14469]
7678,[9722]
7145,[]
6616,[17363]
6271,[17812]
8703,[11379]
6363,[17729]
8576,"[11226, 11227]"
7068,[]
6445,[17826]
6160,"[13519, 13520]"
7764,[13260]
5869,[]
5650,[]
5427,[]
8585,[11243]
8544,"[11180, 11181, 11182]"
6900,[]
8979,[11790]
7066,[]
9166,[8925]
9183,"[11936, 11937]"
5113,[9580]
5439,[]
6653,[17726]
8742,[11451]
8441,[11056]
6636,[17626]
9383,[12085]
7643,[]
6584,[17521]
7999,[10474]
5647,[]
8753,[11464]
5440,[]
5893,[]
8672,"[11334, 11335]"
7486,[]
5338,"[12920, 12921, 12922, 12923]"
8536,[11170]
7879,"[10312, 10313]"
6862,[]
9319,[9044]
6903,[]
6732,[17858]
6564,[17522]
7312,[13675]
6513,[17500]
8547,[11186]
7191,[13591]
9240,"[12055, 12106]"
8524,[11159]
6516,"[17778, 17779, 17780]"
9096,[]
5104,[14524]
6897,[]
5514,[12807]
7734,[]
6871,[]
8013,"[10495, 10496, 10497]"
5106,[14467]
5911,[]
5450,[9811]
8320,"[8976, 8977]"
6869,[]
5695,[13836]
7128,[]
9386,[]
6493,[10114]
7683,[]
5162,[16243]
5825,[13221]
9233,"[12047, 12100]"
6733,"[17451, 17452]"
8513,[11144]
6749,[]
6063,[]
8580,[11234]
5512,"[12845, 12846, 12847, 12848]"
7007,[13199]
6623,[]
7713,"[9750, 9751, 9752]"
6668,[17596]
7338,[13672]
7225,[13554]
5996,[]
6269,[17534]
8598,[11258]
6752,[17599]
8778,[11488]
