GID,ANNOTATION_ID
4289,[]
5781,[]
8352,"[9120, 9121]"
7309,[13562]
6706,[17482]
6134,[13478]
2892,"[16714, 16715, 16716]"
2808,[]
432,[]
5779,[]
3113,[12743]
5034,[14477]
1315,[9665]
8343,[9138]
3102,[12673]
968,[15658]
5716,[]
3437,[12519]
9228,"[8799, 8800]"
7924,[10369]
7877,"[10308, 10309]"
1081,[]
2330,[15229]
5145,[]
5723,[]
637,"[16090, 16091]"
7807,[10183]
3241,[12616]
4839,"[18630, 18631, 18632, 18633, 18634, 18635, 18636, 18637]"
633,[16178]
7786,"[10133, 10134, 10135, 10136, 10137]"
785,[14148]
5588,[]
955,[15867]
631,[15391]
5560,"[9818, 9819]"
1583,[14259]
8064,"[10605, 10606]"
5160,[14463]
2841,[16831]
5039,[14454]
3474,[]
7844,"[10239, 10240, 10241]"
9306,[12077]
2742,"[16752, 16753, 16754]"
999,[15612]
5693,[]
6729,"[17868, 17869]"
7519,[]
5359,[12911]
652,[14103]
2318,[14070]
6759,[17586]
4816,[10008]
980,[9531]
6788,[10048]
4872,[]
792,[14207]
1264,[]
6430,[17503]
3231,[]
8623,[11280]
5128,"[14516, 14517, 14518]"
659,[14112]
2284,"[13980, 13981, 13982]"
1823,[15185]
464,[]
3275,"[12522, 12523]"
672,[]
8025,[10528]
7910,[10350]
5503,"[12874, 12875, 12876, 12877]"
730,[14250]
4895,[]
351,[9167]
878,[15654]
8861,[11589]
1238,[12339]
2097,[14785]
916,[15634]
3454,[12713]
7461,"[16612, 16613, 16614, 16615, 16616, 16617]"
1874,[14017]
8295,"[10915, 10916, 10917]"
6970,[9629]
3127,"[12555, 12556]"
5014,[9555]
3348,[12690]
4996,[12987]
7279,[9316]
167,[]
4568,[18180]
4885,[12438]
30,"[13401, 13402]"
4313,"[18576, 18577, 18578, 18579]"
8347,[9106]
8161,[10765]
4550,[]
8807,[11518]
2639,[13892]
8289,[10909]
2733,[17176]
8942,[11741]
3253,"[12621, 12622]"
6244,[13473]
7742,"[13241, 13242]"
7753,[]
63,[13440]
4992,[9549]
494,[]
8111,"[10681, 10682]"
1819,[13979]
3444,[]
3481,[]
5546,[9911]
393,[13289]
3316,[9139]
6708,[17676]
4981,[]
5674,[13839]
7776,"[13236, 13237]"
8336,[8954]
820,[15579]
8332,[8936]
3473,[]
1715,[]
2149,"[15144, 15145]"
7878,"[10310, 10311]"
818,"[15666, 15667, 15668]"
403,[9169]
1920,[14294]
9239,"[12052, 12053, 12054, 12105]"
1988,"[15785, 15786]"
6835,[13112]
4924,"[12493, 12494]"
3229,[12681]
2234,"[15001, 15002]"
4829,[18480]
1331,"[12245, 12246, 12247, 12248, 12249, 12250, 12251]"
5399,[]
3071,[]
368,[13280]
509,[9353]
1155,[13365]
2556,[16902]
5183,[]
357,[13306]
1304,"[12317, 12318, 12319]"
1243,[12409]
4909,[]
5763,[]
7801,[10173]
5019,[9560]
7634,[]
1173,[13383]
7782,[]
7317,[13674]
556,[15381]
3328,[]
3151,"[12722, 12723]"
3938,[18338]
7858,"[10274, 10275]"
7744,[]
253,[15471]
5571,"[9900, 9901]"
7658,[]
685,[]
956,"[15577, 15578]"
4432,[10037]
1731,"[9235, 9236]"
4062,[18608]
3410,[12699]
6663,"[17783, 17784]"
362,[13278]
708,[14093]
8163,[]
3121,"[9126, 9127]"
8521,[11156]
5226,[9630]
4888,"[12443, 12444, 12445]"
1045,[15601]
3434,[12654]
4304,[]
961,[]
1284,[]
328,[15566]
7340,[13691]
4896,[12451]
5131,[9645]
2351,"[14962, 14963, 14964]"
385,[13322]
766,[14180]
3077,[]
3965,[18763]
3084,[9003]
3398,[12701]
9307,[12067]
4946,[12441]
129,"[15433, 15434]"
5615,[]
4371,[]
5345,[12790]
7784,[10128]
5572,[9889]
6125,[9294]
860,[]
6505,"[17343, 17344]"
7354,"[13622, 13623]"
3468,[]
5021,[9565]
9059,"[11857, 11858]"
3438,[8939]
1909,[]
5718,[]
2466,[13970]
8230,[]
1281,[9694]
3293,[9133]
4880,[]
4899,[]
8023,"[10521, 10522, 10523, 10524]"
1148,[]
1167,[13364]
3628,[17910]
7532,[]
838,[9537]
782,[14152]
1275,[12328]
5765,[]
3076,[]
504,[]
4913,[]
559,"[16102, 16103, 16104]"
1024,[15586]
1760,[14338]
8982,"[11795, 11796]"
6539,"[17732, 17733, 17734, 17735]"
3210,[12512]
98,[]
2793,[]
7864,"[10288, 10289, 10290]"
7613,[16568]
979,[9408]
3289,[12562]
8167,[10771]
438,[]
5751,[13864]
8228,[10846]
53,[13411]
8624,[11281]
5552,"[9873, 9874]"
5320,"[12901, 12902, 12903, 12904]"
1974,"[15278, 15279, 15280]"
9120,"[11905, 11906]"
607,[16147]
2727,[17265]
5675,[13854]
4930,[12453]
449,[]
5482,[]
5189,[14511]
3418,[]
25,[]
7692,[]
1251,[12343]
5252,"[16215, 16216]"
49,"[13407, 13408]"
489,[]
3487,[]
8274,[10896]
488,[]
8792,[11503]
611,[16088]
2368,[13986]
3091,[8842]
828,"[15628, 15629, 15630]"
5466,"[9814, 9815]"
543,"[15948, 15949, 15950, 15951]"
6466,"[10121, 10122, 10123]"
5460,[9878]
336,[]
7520,[]
305,[]
3166,[9072]
4828,[18692]
3078,[]
1053,[9493]
8139,[10729]
6662,[17506]
1323,"[12404, 12405, 12406, 12407]"
4931,[12462]
43,[13456]
8689,[11361]
4825,[18240]
9323,[8918]
8863,[11591]
5369,[]
195,[]
2935,[17102]
3369,[12697]
7922,[10368]
406,[13304]
6918,[9574]
1859,[13939]
1168,[13326]
7773,[13238]
5140,[14486]
3416,[]
7265,[]
3272,[12581]
1012,[9492]
7326,[]
29,[13387]
713,[14233]
550,[15401]
5737,[]
4886,[12478]
1301,"[12376, 12377, 12378]"
5721,[]
6217,[13472]
1069,[]
6642,[17439]
3260,"[12693, 12694]"
605,[15393]
5218,[14527]
1712,[]
1664,"[15244, 15245]"
5740,[]
4745,[]
1162,[]
7749,[9246]
1595,[14863]
1510,"[14371, 14372, 14373]"
8342,[9009]
8868,[11596]
2120,"[9208, 9209]"
8160,[10764]
2665,[13905]
9167,[8948]
2005,"[14637, 14638, 14639, 14640, 14641, 14642]"
807,[]
6686,[17565]
346,[9164]
7956,"[10416, 10417]"
216,[]
4673,"[18734, 18735, 18736]"
3976,[18469]
2241,"[14745, 14746]"
5778,[]
2151,[14582]
7031,[]
434,[]
4875,[]
5167,[9598]
8212,[10831]
6,[13385]
4995,[13035]
5178,"[16186, 16187]"
3162,"[9086, 9087, 9088, 9089]"
1300,"[12399, 12400, 12401]"
6210,[13500]
485,[]
1311,[]
974,[]
3396,[12645]
3142,[8880]
1316,[9710]
354,[13309]
3424,[]
8334,[9053]
4750,[]
1262,[9714]
5684,[]
479,[15388]
101,[]
359,[13276]
1123,[]
588,[15385]
1753,[14775]
2565,[13909]
1298,[]
1913,[14696]
3136,"[9084, 9085]"
583,"[15974, 15975, 15976, 15977, 15978]"
3455,[]
1745,"[9251, 9252]"
4929,[12490]
3204,[12637]
82,[13397]
5071,[16219]
7650,[]
657,"[14237, 14238, 14239]"
4803,[18086]
5239,[9576]
5755,[13831]
5146,[]
735,[14133]
3355,[12669]
3157,[12737]
372,[13308]
4874,[]
3329,[12558]
3480,[]
3371,"[12635, 12636]"
913,"[9478, 9479]"
3116,"[12565, 12566]"
3325,[8994]
4420,[15756]
5679,"[13823, 13824]"
3144,[8835]
7945,[10399]
4915,[]
2494,[14322]
9368,[8859]
600,[]
2514,[]
7312,[13675]
2403,[]
1003,[]
4048,[15909]
4615,"[18382, 18383, 18384]"
7636,[]
319,[15491]
2888,"[17242, 17243]"
2934,"[17112, 17113]"
4873,[]
8514,"[11145, 11649]"
5500,"[12811, 12812, 12813]"
8953,[11730]
4519,[]
3165,[9074]
5360,"[12965, 12966]"
525,[]
1236,[]
6475,[17401]
467,[15407]
1342,[]
7683,[]
474,[16058]
8143,"[10736, 10737]"
370,[9168]
3356,[12663]
4802,[]
1926,[14349]
8474,[11092]
1754,[14572]
7763,[13253]
7674,[9765]
3073,[]
5002,[12980]
799,"[14167, 14168]"
710,[14121]
498,[9375]
5762,[]
5240,[15922]
3378,[12596]
7752,[]
4852,[18699]
3115,[12726]
952,[15874]
2324,[14617]
3792,[]
7426,"[16351, 16352, 16353]"
8899,[11638]
212,[]
3,[13425]
377,[13317]
7024,[13118]
4972,"[13000, 13001, 13002]"
1016,[9536]
9333,"[8904, 8905]"
4870,[]
558,"[16055, 16056, 16057]"
967,[15585]
6698,[17681]
4983,[]
8337,[8843]
8331,[9043]
5492,[]
8348,[8955]
5712,[9271]
5208,[14478]
4310,[]
120,[]
3364,[12629]
6932,"[9655, 9656]"
1073,[15640]
5298,[]
7698,[]
3386,"[12691, 12692]"
1970,"[15078, 15079, 15080, 15081]"
5263,[14509]
8247,"[10867, 10868]"
46,[13447]
6202,[13754]
26,[13458]
3096,[12599]
1041,"[9448, 15613]"
8321,"[8809, 8810]"
8323,[9151]
1899,"[15832, 15833]"
1091,[]
5766,[]
3419,[]
772,"[14124, 14125]"
1090,[]
2777,[17276]
628,[]
8315,"[8907, 8908]"
392,[13315]
7276,[9319]
3288,[12561]
7732,[]
4897,[]
6185,[13494]
7581,[]
8351,"[8865, 8866]"
7778,[13252]
1071,[15894]
6828,[]
5744,[]
5350,"[12973, 12974, 12975, 12976, 12977]"
7562,[]
3334,[12744]
776,[14164]
1157,"[13367, 13368]"
8330,[8961]
3460,[]
174,[]
5020,[9550]
1572,[14655]
4977,[12986]
3283,[12700]
8936,[11748]
5094,[14479]
4574,"[18611, 18612, 18613, 18614]"
179,[]
734,[14153]
4911,[]
630,[15417]
6643,[17646]
8316,[9101]
7797,"[10164, 10165]"
391,[13268]
9313,[8798]
700,[14179]
369,[13296]
3131,[8849]
1277,[9679]
2002,"[13971, 13972, 13973]"
806,[15886]
388,[13299]
4523,[]
2470,"[13996, 13997]"
3060,"[16867, 16868]"
2164,"[9506, 9507]"
3148,"[12733, 12734]"
2285,"[14347, 14348]"
643,[9344]
7638,[]
7277,[9311]
3340,[12590]
378,[13325]
8359,[8953]
768,[14102]
8127,"[13514, 13515]"
6980,"[13129, 13130]"
9048,[11853]
3472,[]
8271,[10893]
394,[13295]
5165,[9638]
912,[9467]
1268,[]
371,[13323]
660,[14120]
5423,[]
571,[15386]
5434,[]
1307,"[12413, 12414, 12415]"
533,[15392]
1836,[14834]
1561,[14585]
477,[16173]
5451,[]
578,[16179]
3239,[12648]
380,[13281]
2235,[15126]
3411,[]
9035,"[11843, 11844]"
1775,"[15003, 15004, 15005]"
1523,"[14981, 14982]"
2359,[]
7301,[13599]
6653,[17726]
5109,[9624]
4922,[]
1959,[14423]
1114,[]
5691,[9270]
8796,[11507]
2049,[]
4830,[]
3038,"[16971, 16972, 16973]"
7367,[]
3107,[]
1044,[]
95,[]
237,[]
415,[16135]
5212,[14502]
2559,"[17085, 17086]"
4928,[12448]
4623,"[18478, 18479]"
8723,"[11424, 11425]"
1279,[]
5695,[13836]
564,"[15389, 15390]"
706,[14208]
589,[16038]
1,[13386]
8174,[13917]
7271,[13737]
3117,"[12553, 12554]"
760,[14188]
8344,"[8963, 8964]"
4887,[12482]
283,[15507]
9144,[11962]
3451,"[12544, 12545]"
8451,[]
1094,[9406]
5390,[9865]
8746,[11456]
2173,[]
2144,[]
3138,[8822]
4901,"[12465, 12466]"
1532,[15282]
7948,[10404]
8065,"[10607, 10608]"
5574,[9925]
9023,[11815]
9175,[8803]
3462,[]
5139,[16052]
7410,"[16419, 16420]"
1088,[]
3395,[12728]
1794,[14595]
610,"[16180, 16181, 16182]"
9058,[11856]
1270,[]
5683,[]
536,"[15955, 15956]"
2444,[14325]
705,"[14203, 14204]"
3318,[12587]
928,"[9489, 9490]"
1838,[14880]
561,"[15940, 15941, 15942]"
352,[13287]
5005,[13010]
8350,[9149]
8449,[11064]
3944,"[18410, 18411, 18412]"
3089,[9010]
5450,[9811]
3354,[12717]
5117,[16214]
984,[]
8297,[10921]
4669,"[17915, 17916, 17917, 17918]"
5022,[9562]
9382,[12097]
9181,[11935]
5006,[]
3336,[8987]
54,[13415]
877,[15597]
5011,[13042]
8325,[8867]
505,[]
1813,[15190]
5665,[13863]
2020,[14971]
5701,[13830]
1846,"[15346, 15347]"
4309,[18676]
5664,[13840]
9386,[]
8087,[10635]
1112,[]
7032,[]
6190,[13539]
3313,[]
3202,[12546]
3803,[]
2716,[17207]
3235,[12741]
976,[9410]
4940,[12485]
794,[14170]
8170,[10773]
4908,[]
8772,[11482]
3300,[12646]
7777,[13243]
314,[9184]
9090,[11891]
6958,"[9582, 9583]"
8322,[8926]
1789,[15332]
7640,[]
451,"[15999, 16000]"
1265,[]
4049,[17990]
5184,"[15938, 15939]"
7764,[13260]
329,[15477]
5349,"[12967, 12968, 12969, 12970, 12971]"
3755,[]
3108,[12615]
2311,[14935]
2813,[9958]
1480,[14806]
483,[]
193,[]
3098,"[12639, 12640]"
376,[13313]
1928,[14707]
2531,[]
36,[13441]
7592,[]
5228,[16240]
889,[15674]
1164,[13347]
988,[]
2611,[13893]
405,[13311]
5760,[]
1609,"[14351, 14352, 14353, 14354]"
729,[14172]
2796,[9971]
242,[15528]
7020,"[13116, 13117]"
5214,"[16023, 16024]"
3092,[]
6599,[17372]
8328,[8801]
7973,"[10442, 10443, 10444]"
866,[]
5680,[13856]
7789,"[10145, 10146, 10147, 10148, 10149, 10150]"
1286,[]
4819,[10036]
538,[15934]
497,[9398]
5155,[16108]
3240,[12524]
1917,"[15021, 15022]"
5648,[]
358,[13288]
829,"[15891, 15892]"
5081,[16154]
529,[15410]
9019,[11806]
2700,"[17010, 17011]"
7748,[9253]
4881,[]
1930,[14016]
2458,"[15218, 15219, 15220, 15221]"
532,[15387]
3219,[12718]
6124,[9291]
6198,[13802]
8800,"[11511, 11512]"
8181,"[10789, 10790]"
8335,[8818]
5644,[]
4968,"[12978, 12979]"
1107,[]
4556,[]
7315,[13577]
141,"[15493, 15494]"
5009,[13038]
8517,"[11150, 11151]"
8838,[11554]
3327,[12537]
4487,[]
4842,"[15771, 15772]"
5525,[]
8930,[11688]
1996,[13993]
1005,[15604]
8107,[10677]
4985,[]
7907,[10347]
4800,"[18719, 18720, 18721]"
3373,[12742]
476,[15980]
344,[]
978,"[9407, 15898, 15899, 15900]"
8327,[9094]
6587,[]
7757,[13254]
4878,[]
5257,[14494]
5258,"[14490, 14491]"
374,"[13283, 13284]"
4843,[17964]
146,[15468]
4754,[15759]
6786,"[10081, 10082]"
4785,[]
7473,"[16556, 16557, 16558, 16559]"
884,[9505]
8405,[11004]
375,[13319]
