index,arousal,contrast,dominance,height,hsv_itten_std_h,hsv_itten_std_s,hsv_itten_std_v,lat,long,orientation,pleasure,symmetry,width,day,hour,numAnimals,zebra
3597,-0.05227085164813874,1.5066012117580705,0.5418818511134278,1728,107811.32848664632,119955.08567126279,148814.72330011195,-1.351425,36.798859,1,0.4756792980101497,10.682085005198172,2592,2,12,1,1
3598,-0.025464693949521056,1.8928892186840447,0.4919260279494626,1728,102173.57533574368,145936.74988158394,166142.54879737727,-1.351425,36.798859,1,0.4297039594252975,7.629583966968286,2592,2,12,1,1
3599,-0.010485381849686698,1.9011507935138592,0.5129979733054131,1728,103206.75520069196,151014.64082134553,161647.9393936781,-1.351425,36.798859,1,0.446559148406004,6.916102777922242,2592,2,12,1,1
36,-0.041860394411068515,1.8394297777448783,0.4825760489060359,4000,121827.86084973432,168063.54200837255,204265.42048738664,-1.373086,36.794396,1,0.4231662246450356,9.17551211055018,6000,1,15,1,1
360,-0.04357760647268141,1.6916736325577906,0.5657943558054199,3672,86040.06354697018,143790.53576087687,125472.42127522154,-1.4120489999999999,36.915824,1,0.4956084259299518,9.739505517535404,4896,1,16,1,1
3600,-0.02757847560109131,1.932760532019543,0.4987909985631135,1728,111614.38671779232,150082.676438022,153988.36663924393,-1.351425,36.798859,1,0.43587036347145497,7.839560335237465,2592,2,12,1,1
3601,-0.03385556561421985,1.83131123859429,0.5162449238204596,1728,117869.19840253243,149884.16499684015,145879.75252774305,-1.351425,36.798859,1,0.4516353756901077,7.735097673021532,2592,2,12,1,1
3602,-0.053166004667342635,1.653472034451286,0.5777824321600927,1728,96702.07993224457,122344.22456495445,138654.99565548374,-1.351425,36.798859,1,0.5069459413504436,9.040718636915754,2592,2,12,1,1
3603,-0.020385266373622923,2.0110459188593492,0.4885654329504813,1728,134577.76696042911,160177.19947608025,133282.41716078765,-1.3515059999999999,36.799228,1,0.42629485238895576,6.594786391413344,2592,2,13,2,1
3604,-0.020718200699384626,1.8601077697195432,0.5274341219477953,1728,130777.07739720886,167090.69533400118,123077.0997284042,-1.3515059999999999,36.799228,1,0.4600850669321215,5.395369086661009,2592,2,13,2,1
3605,0.0049889301378195075,1.9720575357217625,0.5158251029700553,1728,130803.28688806803,176024.1197813527,170398.78474005876,-1.3515059999999999,36.799228,1,0.4475206376022578,5.693303878002424,2592,2,13,1,1
3606,-0.031223702091570125,1.8392681130535893,0.5285657169211639,1728,130798.46723638962,160455.02718581306,109447.97346177264,-1.35144,36.799515,1,0.4620820949774737,5.5924562713183095,2592,2,13,1,1
3607,-0.009125285988878351,1.9725629283618344,0.5046821082088967,1728,129076.5765623475,165677.87348587016,140170.5162444022,-1.351431,36.799527000000005,1,0.4392053816774745,5.732986391100654,2592,2,13,1,1
3608,-0.02749477859246427,1.9433246745532136,0.4970768045407905,1728,126049.39792487,153625.87190053635,124987.44770131474,-1.351431,36.799527000000005,1,0.4343734785340873,6.094817795408875,2592,2,13,1,1
3609,-0.019408575192660205,1.9608779272916896,0.4987949495475208,1728,131826.48614013635,164860.03922479213,127240.02178123394,-1.351431,36.799527000000005,1,0.4350850581810897,6.520084273242909,2592,2,13,1,1
361,0.0004984995909943224,1.7875726104290166,0.5311857390899245,3672,127811.15717208205,184451.87550144343,232391.59452240664,-1.41205,36.915846,1,0.4612951077288983,7.090932030271121,4896,1,16,1,1
3612,-0.07857812904174885,1.5935043655277077,0.5871356474137339,1728,84773.66370551384,127638.66392594368,142895.12185360127,-1.351402,36.799576,1,0.517522688940094,11.300360691826382,2592,2,13,5,1
3613,-0.099716277586945,1.4975592417582166,0.6105149276236375,1728,90099.13453277759,131330.49090443546,156496.18999054114,-1.3513979999999999,36.799593,1,0.5398686789963585,12.01757131665562,2592,2,13,1,1
3614,-0.1434718196441267,1.3848340144191331,0.6265215856411521,1728,79507.16260641064,167929.19499479534,174234.36618787033,-1.351397,36.799609999999994,1,0.5579949534025372,14.577454655136233,2592,2,13,4,1
3615,-0.08868803481759803,1.4901130620470588,0.6192179376916999,1728,88319.61456204894,128128.0998110875,152018.12547704813,-1.351385,36.799701,1,0.5463626949228402,12.727460846464947,2592,2,13,1,1
3616,-0.028152312930972676,1.6876114672010656,0.5839197325263186,1728,128124.59713194118,145013.92830069805,132880.69752559587,-1.351308,36.800013,1,0.5098614175023252,9.528117352477377,2592,2,13,1,1
3617,-0.04065123079255312,1.7423925837646714,0.5543906113473415,1728,127880.83177013756,169370.25010786278,135087.32170793167,-1.3512979999999999,36.800064,1,0.4854215755802754,8.689428475920517,2592,2,13,1,1
3618,-0.0526935541890923,1.7989389267585594,0.5261012183029997,1728,134546.94952403128,156588.99998914354,119215.78893287956,-1.351289,36.800195,1,0.4620143767475537,6.004824412873049,2592,2,13,1,1
3619,-0.06358840134561157,1.7679150089997582,0.5287769601697401,1728,132824.2808126168,162519.10076172586,122115.38446440274,-1.351289,36.800195,1,0.4653901089804996,8.15102657709893,2592,2,13,2,1
362,0.012021923762722708,2.074559115732626,0.4789059654263933,3672,103561.94327631492,154868.6397525335,177902.3738196505,-1.4120979999999999,36.916036,1,0.4147768037012336,8.415265754803167,4896,1,16,1,1
3620,-0.036100614592121716,1.892577836325132,0.5093664523882342,1728,127782.62343483516,151423.28848628275,92945.56307980618,-1.351293,36.800206,1,0.4458780552661099,5.9503468047288735,2592,2,13,1,1
3621,-0.03738954369412745,2.003980161146257,0.4754273468780415,1728,126935.08393225605,152198.04450911973,111210.57923696928,-1.351293,36.800206,1,0.41652583970928825,7.060574529705568,2592,2,13,1,1
3622,-0.0289257713792582,1.9976580033661864,0.4811866375987186,1728,115675.8430495418,149791.92634718335,109219.54425325574,-1.351293,36.800206,1,0.42071076728391626,7.333531625269701,2592,2,13,1,1
3623,-0.03013150419885527,1.9896139715289791,0.48241638925897906,1728,120516.44558270414,155407.64015710427,114361.8436085898,-1.351293,36.800206,1,0.4218952296933327,7.42581121828085,2592,2,13,1,1
3624,-0.05505540546350307,1.8316916658319804,0.5125183885915555,1728,133698.90300867177,153913.12511803533,103202.54024436069,-1.351293,36.800206,1,0.4504454911954104,6.177458999120453,2592,2,13,1,1
3625,-0.07481942160129137,1.621837998214953,0.5747080890517702,1728,88655.63258881085,136272.3785277119,120014.96678979484,-1.351293,36.800206,1,0.50636628519199,10.159625309933308,2592,2,13,3,1
