,Proportion,arousal,contrast,dominance,height,hsv_itten_std_h,hsv_itten_std_s,hsv_itten_std_v,lat,long,orientation,pleasure,symmetry,width,day,hour
10,20.0,-0.06772407549484812,1.473800026113095,0.500872994936128,4000,105718.83150313802,140170.63077406763,133192.9285218334,-1.367088,36.781978,1,0.4415543382649942,11.42508376899308,6000,1,15
1000,90.0,0.026791621179123065,2.298800008656479,0.44695781159851794,3072,100418.69089992935,106270.09035283634,146867.86104598318,-1.349683,36.806025,1,0.38560343274064185,10.867455078938068,4608,1,17
1003,20.0,0.003802911842773732,1.6107801641903678,0.5340584409623524,3072,116605.12558941063,145911.41567266078,182644.571576114,-1.349651,36.806162,1,0.4634710809749165,9.66616528777576,4608,1,17
1005,80.0,-0.049412014597911336,1.7569334507225962,0.5570195757403317,3072,102427.1515690813,140822.72905749272,132426.32639656245,-1.349651,36.806162,1,0.4885506545468947,12.629948574317636,4608,1,17
101,20.0,0.05501153657851826,2.42374348947763,0.4440832654541978,4000,142994.8916927532,193382.95786340637,250415.90900650772,-1.373255,36.800266,1,0.3803824427979207,6.215719293970397,6000,1,16
1012,50.0,0.037851773101602926,1.6543228895920772,0.5344674502215125,3072,115421.17145360388,91823.20563561261,137036.83617026318,-1.347879,36.811986,1,0.46053917409684336,9.191187869811014,4608,1,17
1016,30.0,-0.18980573519591432,0.6588559802502639,0.7729345161433491,3072,94326.47311097535,147757.44436744973,268945.89067485096,-1.347879,36.811986,1,0.6896300632039334,8.08389201007041,4608,1,17
102,10.0,0.05283331338000949,2.36592691733398,0.44640408249597197,4000,143097.3132809356,194735.89602330638,253024.1837247095,-1.373255,36.800266,1,0.3826083987434963,6.274329364542586,6000,1,16
1024,10.0,-0.17266166514159123,0.8403337261155206,0.6046088360663353,3072,80929.56772026456,131676.52535664814,111024.07904093998,-1.378441,36.814929,1,0.5417814229156631,12.242562789754016,4608,1,17
1032,80.0,-0.056264131506446435,1.431039864903904,0.5764122759568482,3072,118304.54297724816,119425.8273858716,104404.56182349293,-1.374428,36.801062,1,0.5060550376713575,12.187125845234466,4608,1,18
1041,90.0,-0.06455831058380074,1.4419561759271986,0.5841453746361465,3072,95231.36908982367,117860.94978745081,89286.71711713649,-1.374269,36.800308,1,0.5135720913127548,13.023927103726662,4608,1,18
1044,30.0,0.09511577897785323,2.5010633451839976,0.444114635286116,3072,105719.64400978446,101444.60122648223,151396.66633347276,-1.374267,36.800294,1,0.3765379527769312,10.84011908684599,4608,1,18
1045,80.0,0.07081774120805967,2.009899727332825,0.5120155503687305,3072,133151.46779659958,114093.31197050947,168757.06219362267,-1.374267,36.800294,1,0.43785674974612715,7.93967860254048,4608,1,18
1053,40.0,-0.01564835942114215,1.6549051933774075,0.5598121229043675,3072,100512.92300523132,99355.37740857311,109741.81664960516,-1.374267,36.800294,1,0.48771642242337765,10.92083648178882,4608,1,18
1057,44.4444444444,-0.058853978218199876,1.4280212622159247,0.5910396473912302,3072,90828.07752592562,122403.05493409876,112031.93246074484,-1.374267,36.800294,1,0.5190091700370077,12.03798985243922,4608,1,18
1060,100.0,-0.1230010916761261,1.3385545677135076,0.6277560014103256,3072,82175.95314966267,145982.46363998658,172315.4033457898,-1.374267,36.800294,1,0.5570907824097612,14.523295082328502,4608,1,18
1061,95.0,-0.09872582053209719,1.3926289422431668,0.6084413191358777,3072,83128.88399079801,135235.95502676055,142061.69460093346,-1.374267,36.800294,1,0.537972096663978,14.01345051586384,4608,1,18
1062,100.0,-0.0831696734445358,1.517802266922467,0.5575107817767545,3072,77510.23842621624,141990.7510833012,128188.36825113615,-1.374267,36.800294,1,0.4922362994765456,12.719501313971424,4608,1,18
1069,40.0,0.0032710007361440308,1.6055218467257184,0.5898754379522617,3072,145255.496815286,111311.2932868898,168531.23540822402,-1.374267,36.800294,1,0.5120003792167206,9.653645064297685,4608,1,18
1071,33.3333333333,0.05007693587892942,1.903447034640957,0.5196393677481814,3072,121577.6820427536,116721.4837431396,129208.78874218356,-1.374368,36.799641,1,0.446480510383758,8.780808796875903,4608,1,18
1073,80.0,-0.041133858029183956,1.4998564086650594,0.5840892290548256,3072,101527.55425280152,101127.78471023678,117382.6435050013,-1.374368,36.799641,1,0.5112618894823509,10.822099670725747,4608,1,18
1081,0.0,-0.26021844771117886,0.1853054189617605,0.7491239274356359,3072,131761.26732676625,70094.3811328697,165401.58909823757,-1.377424,36.784954,1,0.6757479585857039,15.536407046540065,4608,1,18
1087,20.0,-0.20299911183555497,0.3677740278289826,0.807338445141193,3072,119976.2154674371,96372.16629712128,306192.49174806505,-1.371765,36.779019,1,0.720784132999764,8.160624201620877,4608,1,18
1088,0.0,-0.29473922628501137,0.44717620387241414,0.7656566061355643,3072,133587.79608265954,244297.05742722322,313055.14098992565,-1.371765,36.779019,1,0.6934395497252265,9.661921233049533,4608,1,18
1090,0.0,-0.0660126670324222,0.48057448880113357,0.7378791179399807,3072,154218.68519753226,150418.34042828687,183264.51522018356,-1.370491,36.778912,1,0.64723269024423,7.73165874258451,4608,1,18
1091,20.0,-0.21677119380904863,0.2932302429149476,0.7781116020060181,3072,123071.01715563347,117656.74050899081,219809.1588027113,-1.369954,36.77885,1,0.6967297378880889,10.651859278643952,4608,1,18
1092,80.0,0.014497313173245513,2.020345854445915,0.49771902485171987,3072,80411.45545394774,100862.69000378683,90840.51319880475,-1.368783,36.779223,1,0.43087726548525457,7.61468682789743,4608,1,18
1094,80.0,0.02944472718331964,1.8384911947177927,0.507280086726754,3072,92651.82359451371,151457.47363798195,127692.92276220932,-1.367294,36.781482,1,0.43773814921220244,7.783705631234561,4608,1,18
1099,90.0,-0.025096829273374033,1.4506296145426827,0.5604585121025,3072,99189.89777806116,135186.06680275893,98557.25135619848,-1.367153,36.781816,1,0.48918999384884426,11.62527301231271,4608,1,18
1102,70.0,0.0024561777018999864,2.2930578966065553,0.38303022427430256,3072,86177.36228686871,150235.94937830293,23715.590095031486,-1.367125,36.781904,6,0.3324306970825772,12.787699301833529,4608,1,18
1105,60.0,-0.04900866017481462,1.3696070192984469,0.4878376196032702,3072,100907.56061228624,167596.99326300577,159776.91787892545,-1.367109,36.782035,1,0.42842608854118686,15.529686389378663,4608,1,18
1107,30.0,0.11291338709841137,1.484141617730504,0.5055861348216351,3072,143561.2836662061,152157.66358090544,80090.91162062161,-1.359969,36.794605,1,0.428208711567935,8.454936846170924,4608,1,18
111,60.0,0.02692318621943779,1.5810441050120554,0.561140852297406,1280,133241.35484859382,115952.11878357377,179863.54187982497,-1.35368,36.795701,1,0.4847605118812091,7.386885297561877,1920,1,14
1112,40.0,0.09451583883152773,1.8233096517292033,0.5422603999417088,3072,148753.1114763281,137755.82048683098,64214.95502001246,-1.359969,36.794605,1,0.46183702429849083,5.813980945416379,4608,1,18
1114,50.0,0.08656857400749404,2.0737909154840732,0.5325293931859627,3072,133775.09981640414,129009.40102488655,63043.07956909748,-1.359969,36.794605,1,0.45415273383910215,5.7348110264352465,4608,1,18
1115,30.0,0.045122676102625214,2.47284927950255,0.40763341348906723,3072,119717.54758551015,96827.66844864127,78821.99371720785,-1.359969,36.794605,6,0.34967985688999903,9.300033319934094,4608,1,18
1117,70.0,0.05297828174721722,2.688907057504847,0.3952110991280059,3072,113869.15601933456,96331.50415933512,42901.99464153412,-1.359969,36.794605,6,0.33813248576706334,9.013626606512783,4608,1,18
