AID,GID,AGE,CONTRIBUTOR,EXEMPLAR_FLAG,INDIVIDUAL_NAME,NID,QUALITY,SEX,SPECIES,VIEW_POINT
10158,7793,adult,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1,IBEIS_PZ_0005,278,good,Female,zebra_plains,left
10159,7793,infant,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",0,IBEIS_PZ_0039,312,poor,UNKNOWN SEX,zebra_plains,left
12071,9292,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1,IBEIS_PZ_0760,1033,good,Female,zebra_plains,left
11057,8442,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1,IBEIS_PZ_0532,805,good,Male,zebra_plains,left
9834,5566,infant,"NNP GZC Car '3WHITE', Person 'A'",0,____,-9834,ok,UNKNOWN NAME,giraffe_masai,backright
9835,5566,infant,"NNP GZC Car '3WHITE', Person 'A'",0,____,-9835,ok,UNKNOWN NAME,giraffe_masai,back
15890,1068,infant,"NNP GZC Car '15WHITE', Person 'D'",0,____,-15890,junk,UNKNOWN NAME,zebra_plains,left
15925,5241,infant,"NNP GZC Car '3RED', Person 'B'",0,____,-15925,poor,UNKNOWN NAME,zebra_plains,backleft
15926,5241,infant,"NNP GZC Car '3RED', Person 'B'",0,____,-15926,ok,UNKNOWN NAME,zebra_plains,backleft
9926,5472,adult,"NNP GZC Car '3WHITE', Person 'A'",0,NNP_GIRM_0081,105,good,Male,giraffe_masai,left
9927,5472,infant,"NNP GZC Car '3WHITE', Person 'A'",0,____,-9927,poor,UNKNOWN NAME,giraffe_masai,left
9928,5472,infant,"NNP GZC Car '3WHITE', Person 'A'",0,____,-9928,poor,UNKNOWN NAME,giraffe_masai,left
11063,8448,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0508,781,poor,Male,zebra_plains,front
9985,2628,infant,"NNP GZC Car '1RED', Person 'A'",0,____,-9985,junk,UNKNOWN NAME,giraffe_masai,left
9986,2628,infant,"NNP GZC Car '1RED', Person 'A'",0,____,-9986,ok,UNKNOWN NAME,giraffe_masai,front
11639,8900,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0263,536,ok,Male,zebra_plains,backleft
14733,2471,juveniles- two year old,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1235,1508,poor,Female,zebra_plains,left
14734,2471,adult,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1909,2182,good,Female,zebra_plains,left
17523,6521,infant,"NNP GZC Car '6RED', Person 'B'",0,____,-17523,poor,UNKNOWN NAME,zebra_plains,left
9399,616,infant,"NNP GZC Car '13WHITE', Person 'B'",0,____,-9399,excellent,UNKNOWN NAME,giraffe_masai,right
9099,3122,adult,"NNP GZC Car '1WHITE', Person 'A'",0,NNP_GIRM_0070,92,good,Female,giraffe_masai,frontright
9100,3122,adult,"NNP GZC Car '1WHITE', Person 'A'",0,NNP_GIRM_0031,42,good,Female,giraffe_masai,frontleft
12090,9378,juveniles - one year old,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1,IBEIS_PZ_0764,1037,ok,Female,zebra_plains,left
12091,9378,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0761,1034,ok,Female,zebra_plains,left
9800,7710,infant,"NNP GZC Car '8WHITE', Person 'A'",0,____,-9800,good,UNKNOWN NAME,giraffe_masai,right
