AID,GID,Album,Shared,Not Shared,Proportion,AGE,CONTRIBUTOR,EXEMPLAR_FLAG,INDIVIDUAL_NAME,NID,QUALITY,SEX,SPECIES,VIEW_POINT
15599.0,826,photo_album_48,10,0,100.0,adult,"NNP GZC Car '15WHITE', Person 'A'",0,IBEIS_PZ_1378,1651,ok,Male,zebra_plains,backleft
11591.0,8863,photo_album_73,7,3,70.0,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1,IBEIS_PZ_0425,698,ok,Male,zebra_plains,left
14935.0,2311,photo_album_9,10,0,100.0,adult,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1896,2169,excellent,Female,zebra_plains,left
9120.0,8352,photo_album_17,6,4,60.0,adult,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",0,NNP_GIRM_0111,158,ok,Male,giraffe_masai,left
9120.0,8352,photo_album_42,9,1,90.0,adult,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",0,NNP_GIRM_0111,158,ok,Male,giraffe_masai,left
9120.0,8352,photo_album_49,8,2,80.0,adult,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",0,NNP_GIRM_0111,158,ok,Male,giraffe_masai,left
9120.0,8352,photo_album_55,5,5,50.0,adult,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",0,NNP_GIRM_0111,158,ok,Male,giraffe_masai,left
9121.0,8352,photo_album_17,6,4,60.0,juveniles - one year old,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",1,NNP_GIRM_0047,63,good,Female,giraffe_masai,left
9121.0,8352,photo_album_42,9,1,90.0,juveniles - one year old,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",1,NNP_GIRM_0047,63,good,Female,giraffe_masai,left
9121.0,8352,photo_album_49,8,2,80.0,juveniles - one year old,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",1,NNP_GIRM_0047,63,good,Female,giraffe_masai,left
9121.0,8352,photo_album_55,5,5,50.0,juveniles - one year old,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",1,NNP_GIRM_0047,63,good,Female,giraffe_masai,left
14339.0,1672,photo_album_12,5,4,55.55555555555556,adult,"NNP GZC Car '1PURPLE', Person 'A'",0,IBEIS_PZ_1243,1516,good,Male,zebra_plains,left
9865.0,5390,photo_album_65,7,3,70.0,adult,"NNP GZC Car '3WHITE', Person 'A'",0,NNP_GIRM_0103,138,ok,Male,giraffe_masai,backleft
15861.0,865,photo_album_48,3,7,30.0,infant,"NNP GZC Car '15WHITE', Person 'A'",0,____,-15861,poor,UNKNOWN NAME,zebra_plains,right
15169.0,1515,photo_album_12,5,5,50.0,juveniles- two year old,"NNP GZC Car '1PURPLE', Person 'A'",1,IBEIS_PZ_0566,839,good,Male,zebra_plains,left
15170.0,1515,photo_album_12,5,5,50.0,adult,"NNP GZC Car '1PURPLE', Person 'A'",0,IBEIS_PZ_0571,844,good,Male,zebra_plains,left
10773.0,8170,photo_album_100,6,4,60.0,adult,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",0,IBEIS_PZ_0113,386,poor,Male,zebra_plains,left
16867.0,3060,photo_album_79,5,5,50.0,adult,"NNP GZC Car '1RED', Person 'B'",1,IBEIS_PZ_0792,1065,good,Male,zebra_plains,left
16868.0,3060,photo_album_79,5,5,50.0,infant,"NNP GZC Car '1RED', Person 'B'",0,____,-16868,ok,UNKNOWN NAME,zebra_plains,back
16010.0,5045,photo_album_37,5,5,50.0,infant,"NNP GZC Car '3RED', Person 'A'",0,____,-16010,ok,UNKNOWN NAME,zebra_plains,backleft
12985.0,5003,photo_album_4,6,4,60.0,infant,"NNP GZC Car '3PURPLE', Person 'B'",0,____,-12985,excellent,UNKNOWN NAME,zebra_plains,right
12985.0,5003,photo_album_86,7,3,70.0,infant,"NNP GZC Car '3PURPLE', Person 'B'",0,____,-12985,excellent,UNKNOWN NAME,zebra_plains,right
10154.0,7791,photo_album_47,3,7,30.0,infant,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1,IBEIS_PZ_0212,485,ok,Male,zebra_plains,left
9431.0,1102,photo_album_29,8,2,80.0,infant,"NNP GZC Car '15WHITE', Person 'D'",0,____,-9431,poor,UNKNOWN NAME,giraffe_masai,left
9431.0,1102,photo_album_90,6,4,60.0,infant,"NNP GZC Car '15WHITE', Person 'D'",0,____,-9431,poor,UNKNOWN NAME,giraffe_masai,left
13425.0,3,photo_album_8,5,5,50.0,infant,"NNP GZC Car '10WHITE', Person 'A'",0,____,-13425,excellent,UNKNOWN NAME,zebra_plains,backleft
13249.0,7768,photo_album_71,10,0,100.0,adult,"NNP GZC Car '9WHITE', Person 'A'",0,IBEIS_PZ_0519,792,good,Female,zebra_plains,left
12317.0,1304,photo_album_15,6,2,75.0,adult,"NNP GZC Car '1BLUE', Person 'B'",1,IBEIS_PZ_0334,607,ok,Female,zebra_plains,left
12318.0,1304,photo_album_15,6,2,75.0,adult,"NNP GZC Car '1BLUE', Person 'B'",1,IBEIS_PZ_0333,606,excellent,Male,zebra_plains,left
12319.0,1304,photo_album_15,6,2,75.0,infant,"NNP GZC Car '1BLUE', Person 'B'",0,____,-12319,poor,UNKNOWN NAME,zebra_plains,left
13121.0,7041,photo_album_34,4,6,40.0,adult,"NNP GZC Car '6WHITE', Person 'B'",0,IBEIS_PZ_0719,992,good,Male,zebra_plains,left
9889.0,5572,photo_album_81,7,3,70.0,adult,"NNP GZC Car '3WHITE', Person 'A'",0,NNP_GIRM_0108,153,ok,Female,giraffe_masai,backleft
14631.0,1796,photo_album_54,3,7,30.0,infant,"NNP GZC Car '1PURPLE', Person 'B'",0,IBEIS_PZ_1360,1633,poor,UNKNOWN SEX,zebra_plains,left
9336.0,10,photo_album_8,2,8,20.0,adult,"NNP GZC Car '10WHITE', Person 'A'",0,NNP_GIRM_0140,210,ok,Female,giraffe_masai,left
9336.0,10,photo_album_57,2,8,20.0,adult,"NNP GZC Car '10WHITE', Person 'A'",0,NNP_GIRM_0140,210,ok,Female,giraffe_masai,left
13347.0,1164,photo_album_74,6,4,60.0,juveniles - one year old,"NNP GZC Car '17WHITE', Person 'A'",0,IBEIS_PZ_1855,2128,ok,Male,zebra_plains,left
