GID,ANNOTATION_ID,FEATURES
373,"{454: [45, '45', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1290,"{1556: [1190, '-1556', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
309,"{380: [309, '309', 'zebra_plains', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1258,"{1517: [1159, '-1517', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
354,"{432: [173, '173', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1299,"{1566: [1199, '-1566', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1623,"{1952: [1464, '-1952', 'zebra_plains', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
491,"{593: [477, '-593', 'elephant_savannah', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
444,"{539: [436, '436', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1227,"{1475: [1127, '-1475', 'zebra_plains', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1699,"{2045: [1528, '-2045', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
338,"{414: [45, '45', 'zebra_plains', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}","{415: [336, '-415', 'zebra_plains', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
88,"{110: [45, '45', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
237,"{288: [26, '26', 'lion', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1317,"{1585: [315, '-387', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
824,"{986: [775, '-986', 'person', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1150,"{1384: [1058, '-1384', 'person', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
404,"{491: [406, '-502', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
18,"{21: [45, '45', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
129,"{162: [145, '-162', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1125,"{1353: [1035, '-1353', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
844,"{1007: [791, '-1007', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1657,"{1990: [1491, '-1990', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1337,"{1607: [1224, '-1607', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
458,"{555: [45, '45', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}","{556: [198, '198', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
740,"{882: [701, '-882', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
588,"{700: [559, '-700', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}","{701: [560, '-701', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1481,"{1779: [1352, '-1779', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}","{1780: [45, '45', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}","{1781: [1353, '-1781', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1568,"{1879: [45, '45', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}","{1880: [1417, '-1880', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
976,"{1184: [919, '919', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}","{1185: [920, '-1185', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
221,"{269: [223, '223', 'zebra_plains', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1228,"{1476: [1128, '-1476', 'zebra_plains', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1595,"{1915: [1439, '-1915', 'lion', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
48,"{55: [49, '49', 'zebra_plains', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
646,"{766: [608, '-766', 'zebra_plains', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
461
543,"{652: [523, '-652', 'lion', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1336,"{1605: [1223, '-1605', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}","{1606: [45, '45', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
22,"{24: [21, '21', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}","{25: [45, '45', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1619,"{1946: [1460, '-1946', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}","{1947: [1461, '-1947', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
771,"{921: [726, '-921', 'zebra_grevys', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
1328,"{1594: [161, '-183', 'zebra_plains', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
633
292,"{358: [294, '-358', 'zebra_plains', 'UNKNOWN SEX', 'infant', '0', 'UNKNOWN', None, None]}"
