ANNOTATION_ID,NID,NAME,SPECIES,SEX,AGE_MONTHS,EXEMPLAR_FLAG,IMAGE_QUALITY,IMAGE_YAW
82,74,74,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
83,75,75,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
84,76,76,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
85,77,-85,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
86,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
87,79,79,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
88,80,-88,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
89,81,-89,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
90,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
91,83,83,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
92,503,-629,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
93,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
94,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
95,86,-95,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
96,87,-96,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
97,88,-97,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
98,89,89,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
99,90,-99,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
100,1239,-1629,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
101,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
102,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
103,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
104,95,-104,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
105,96,96,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
106,97,-106,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
107,98,98,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
108,99,-108,elephant_savannah,UNKNOWN SEX,infant,0,UNKNOWN,,
109,100,-109,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
110,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
111,70,-78,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
112,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
113,102,102,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
114,103,103,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
115,65,65,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
116,105,105,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
117,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
118,106,106,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
119,107,107,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
120,108,108,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
121,109,-121,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
122,110,110,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
123,111,-123,elephant_savannah,UNKNOWN SEX,infant,0,UNKNOWN,,
124,112,-124,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
125,113,-125,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
126,114,114,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
127,115,-127,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
128,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
129,117,-129,person,UNKNOWN SEX,infant,0,UNKNOWN,,
130,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
131,119,-131,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
132,120,-132,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
133,121,121,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
134,105,105,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
135,123,123,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
136,124,-136,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
137,125,125,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
138,126,126,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
139,126,126,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
140,986,986,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
141,19,19,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
142,129,129,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
143,130,130,giraffe_reticulated,UNKNOWN SEX,infant,0,UNKNOWN,,
144,131,131,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
145,132,-145,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
146,133,-146,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
147,134,134,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
148,135,-148,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
149,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
150,43,43,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
151,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
152,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
153,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
154,139,-154,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
155,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
156,140,140,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
157,141,-157,sheep_domestic,UNKNOWN SEX,infant,0,UNKNOWN,,
158,142,-158,sheep_domestic,UNKNOWN SEX,infant,0,UNKNOWN,,
159,143,-159,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
160,144,-160,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
161,96,96,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
162,145,-162,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
163,146,-163,unspecified_animal,UNKNOWN SEX,infant,0,UNKNOWN,,
164,321,321,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
165,147,-165,person,UNKNOWN SEX,infant,0,UNKNOWN,,
166,148,148,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
167,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
168,149,-168,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
169,150,-169,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
170,151,-170,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
171,152,-171,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
172,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
173,153,-173,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
174,154,-174,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
175,155,-175,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
176,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
177,156,-177,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
178,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
179,157,-179,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
180,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
181,159,-181,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
182,160,-182,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
183,161,-183,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
184,162,162,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
185,25,25,lion,UNKNOWN SEX,infant,0,UNKNOWN,,
186,163,-186,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
187,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
188,165,-188,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
189,166,-189,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
190,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
191,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
192,168,-192,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
193,45,45,antelope,UNKNOWN SEX,infant,0,UNKNOWN,,
194,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
195,170,170,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
196,171,-196,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
197,83,83,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
198,172,172,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
199,173,173,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
200,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
201,49,49,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
202,175,175,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
203,176,-203,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
204,131,131,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
205,19,19,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
206,19,19,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
207,45,45,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
208,177,177,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
209,178,178,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
210,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
211,180,180,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
212,181,-212,cow_domestic,UNKNOWN SEX,infant,0,UNKNOWN,,
213,182,182,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
214,799,-1018,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
215,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
216,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
217,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
218,185,-218,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
219,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
220,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
221,188,-221,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
222,189,-222,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
223,190,-223,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
224,191,191,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
225,1239,-1629,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
226,192,-226,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
227,193,-227,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
228,194,194,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
229,195,195,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
230,195,195,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
231,196,196,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
232,197,-232,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
233,198,198,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
234,102,102,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
235,98,98,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
236,200,-236,sheep_domestic,UNKNOWN SEX,infant,0,UNKNOWN,,
237,65,65,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
238,202,202,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
239,203,-239,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
240,204,204,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
241,205,-241,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
242,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
243,162,162,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
244,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
245,207,-245,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
246,44,44,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
247,208,208,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
248,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
249,159,-181,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
250,210,-250,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
251,211,211,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
252,173,173,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
253,212,212,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
