GID,ANNOTATION_ID
373,[454]
1290,[1556]
309,[380]
1258,[1517]
354,[432]
1299,[1566]
1623,[1952]
491,[593]
444,[539]
1699,[2045]
338,"[414, 415]"
88,[110]
237,[288]
824,[986]
1150,[1384]
404,[491]
18,[21]
129,[162]
1125,[1353]
844,[1007]
479,[576]
1337,[1607]
458,"[555, 556]"
740,[882]
588,"[700, 701]"
1481,"[1779, 1780, 1781]"
1568,"[1879, 1880]"
976,"[1184, 1185]"
221,[269]
1228,[1476]
1595,[1915]
48,[55]
646,[766]
461,[]
543,[652]
1336,"[1605, 1606]"
22,"[24, 25]"
1619,"[1946, 1947]"
771,[921]
1328,[1594]
633,[]
1348,[]
437,[530]
1149,[1383]
7,[8]
837,[997]
84,[107]
1212,[1457]
1237,[1485]
297,"[362, 363, 364]"
875,"[1051, 1052]"
270,"[334, 335, 336]"
613,[729]
375,[458]
1073,"[1289, 1290]"
742,[883]
1293,[1559]
1392,"[1670, 1671]"
1471,[1768]
1,[2048]
489,[591]
1565,[1876]
407,[494]
1166,"[1401, 1402]"
682,[811]
1642,[1975]
124,[155]
1016,[1223]
1386,[1664]
1626,[1956]
196,[241]
876,[1053]
568,[676]
532,[639]
1606,[1927]
1361,[1634]
10,[11]
1554,[1866]
175,[215]
932,"[1132, 1133, 1134]"
924,"[1120, 1121]"
811,[]
1690,"[2027, 2028]"
1264,[1524]
251,[308]
639,[759]
149,[184]
960,[1166]
71,[92]
1333,"[1601, 1602]"
988,[1194]
1003,[1208]
1230,"[1478, 1479]"
363,"[443, 444]"
457,"[553, 554]"
611,"[726, 727]"
289,[355]
1034,[1245]
449,[544]
1610,"[1932, 1933]"
306,[377]
1425,[1709]
97,"[121, 122]"
440,"[534, 535]"
1579,"[1892, 1893, 1894, 1895]"
778,[929]
881,[1061]
1657,[1990]
964,[]
385,[467]
629,[748]
1378,[1654]
336,[413]
388,"[471, 472]"
1276,[]
5,[6]
1443,[1730]
1693,"[2031, 2032, 2033, 2034]"
300,[369]
1078,[1296]
883,[1064]
371,[]
81,[103]
737,[]
1493,"[1796, 1797]"
536,[644]
886,"[1068, 1069]"
1577,[1890]
326,[399]
104,"[130, 131]"
908,"[1098, 1099]"
244,"[298, 299]"
801,[958]
50,[57]
879,"[1058, 1059]"
556,[664]
955,[1161]
1174,[1415]
29,[34]
1431,[1717]
1032,[1243]
785,[936]
1687,[2023]
1139,[1369]
1326,[1592]
589,[]
1017,[1224]
1020,"[1227, 1228]"
877,"[1054, 1055]"
132,[165]
23,"[26, 27]"
58,[65]
1528,[1838]
551,[661]
1596,[]
171,[211]
324,[397]
460,"[558, 559]"
382,[464]
267,"[329, 330]"
389,[473]
1314,[1582]
360,"[439, 440]"
1561,[1872]
681,"[808, 809, 810]"
263,[324]
1115,[1342]
722,[862]
1231,[1480]
1108,[1332]
966,[1172]
777,"[927, 928]"
671,"[797, 798]"
637,[756]
748,[891]
506,[]
1203,[1448]
951,[1156]
690,[820]
1320,[1588]
1224,"[1471, 1472]"
782,[933]
524,[630]
743,[884]
273,"[339, 340]"
1672,[2006]
1622,[1951]
510,[615]
450,[545]
1023,"[1231, 1232, 1233, 1234]"
953,"[1158, 1159]"
419,"[508, 509]"
838,[998]
1197,[1439]
1697,"[2040, 2041]"
519,[624]
1501,[]
1389,[1667]
397,[482]
96,[120]
135,[]
1100,[1319]
432,[525]
494,[595]
279,[345]
710,[848]
713,[851]
1488,[1788]
809,[969]
944,[]
808,"[967, 968]"
180,"[220, 221, 222, 223]"
1448,[1737]
683,"[812, 813]"
1143,"[1375, 1376]"
1081,[1298]
1358,[1631]
1049,[1259]
1446,"[1733, 1734]"
636,[755]
52,[58]
453,[548]
1474,[1771]
770,"[919, 920]"
1282,[1546]
1198,[1440]
194,[239]
1089,[1306]
1440,"[1726, 1727]"
32,[38]
133,[166]
68,[89]
521,"[626, 627]"
258,"[315, 316]"
1291,[1557]
201,"[247, 248]"
515,[620]
49,[56]
348,[427]
488,[590]
943,[1145]
1686,[2022]
1123,[1351]
319,[392]
1215,"[1462, 1463]"
1059,[1270]
631,"[750, 751]"
759,[905]
1142,[1374]
1457,[]
1574,"[1886, 1887]"
819,[979]
749,[892]
87,[109]
528,[634]
714,[852]
1272,[1533]
548,"[658, 659]"
1419,[1704]
391,[476]
291,"[356, 357]"
1630,"[1960, 1961]"
697,[827]
1296,[1562]
583,[694]
34,[40]
442,[537]
13,"[14, 15]"
110,"[138, 139]"
220,[268]
70,[91]
99,[124]
617,[734]
815,[975]
813,[972]
925,[]
1673,[2007]
825,[]
934,[1136]
1650,[1984]
1658,[1991]
667,"[790, 791]"
1527,[1837]
1190,[1433]
1584,"[1900, 1901, 1902]"
997,"[1203, 1204]"
38,[44]
662,[784]
232,[281]
704,"[837, 838]"
130,[163]
39,[45]
1407,"[1691, 1692]"
1201,[1445]
469,[567]
301,[370]
555,[]
1655,[1989]
223,[272]
729,[871]
963,"[1168, 1169, 1170]"
395,[480]
1593,"[1912, 1913]"
1465,"[1758, 1759]"
342,"[419, 420]"
660,[782]
1191,[]
1636,[1967]
821,"[981, 982]"
912,"[1103, 1104]"
446,[541]
247,[]
280,[346]
226,[275]
1204,"[1449, 1450]"
986,[]
332,"[407, 408, 409]"
302,[371]
137,[]
25,[28]
903,[1093]
24,[]
971,"[1177, 1178]"
546,[657]
712,[850]
1633,[1964]
1117,"[1344, 1345]"
1311,[]
316,"[388, 389]"
1476,[1773]
1401,"[1681, 1682]"
361,[441]
985,[1192]
1487,[1787]
754,[900]
1388,[1666]
1236,[1484]
1581,[1897]
1029,[1240]
17,[20]
337,[]
156,[192]
151,[186]
1583,[]
1147,"[1380, 1381]"
274,[341]
390,"[474, 475]"
1303,"[1572, 1573]"
685,[815]
103,[129]
1513,[1820]
278,[]
1461,"[1752, 1753]"
851,"[1017, 1018, 1019, 1020]"
822,[983]
587,"[698, 699]"
792,[]
1010,[1218]
83,"[105, 106]"
906,[1096]
108,[136]
1216,[1464]
789,"[942, 943]"
1640,[1972]
1079,[1297]
1455,[1746]
1027,[]
788,"[940, 941]"
255,[312]
993,[]
76,[99]
378,[460]
841,"[1003, 1004]"
701,[833]
1602,[1923]
1417,[1702]
947,"[1148, 1149]"
550,[660]
905,[1095]
672,[799]
787,"[938, 939]"
992,[1200]
1410,[1696]
1211,[1456]
368,[450]
959,[1165]
191,[236]
1304,[]
1397,"[1676, 1677]"
570,[678]
1144,[1377]
1518,"[1824, 1825]"
1006,[1214]
695,[825]
1418,[1703]
178,"[218, 219]"
721,[861]
1462,[1754]
798,"[953, 954]"
1379,"[1655, 1656]"
1689,[2026]
752,[897]
724,[864]
1404,"[1685, 1686, 1687]"
1288,"[1552, 1553, 1554]"
746,[889]
26,[29]
