,,Share Proportion
-18608,photo_album_99,90.0
-13397,photo_album_85,90.0
1384,photo_album_22,88.88888888888889
1686,photo_album_22,88.88888888888889
1540,photo_album_22,88.88888888888889
1269,photo_album_1,88.88888888888889
1566,photo_album_12,88.88888888888889
-17086,photo_album_21,88.88888888888889
1382,photo_album_15,88.88888888888889
535,photo_album_15,88.88888888888889
604,photo_album_15,88.88888888888889
1971,photo_album_12,88.88888888888889
715,photo_album_23,88.88888888888889
959,photo_album_13,88.88888888888889
1885,photo_album_21,88.88888888888889
650,photo_album_25,88.88888888888889
607,photo_album_15,88.23529411764706
-15417,photo_album_20,87.5
55,photo_album_6,85.0
1170,photo_album_92,85.0
1364,photo_album_71,80.0
1376,photo_album_89,80.0
3,photo_album_23,80.0
290,photo_album_7,80.0
1366,photo_album_71,80.0
-18314,photo_album_63,80.0
1299,photo_album_34,80.0
-13396,photo_album_85,80.0
323,photo_album_100,80.0
1269,photo_album_46,80.0
-18311,photo_album_63,80.0
376,photo_album_43,80.0
1237,photo_album_93,80.0
1204,photo_album_13,80.0
8,photo_album_98,80.0
-8801,photo_album_42,80.0
1177,photo_album_13,80.0
1170,photo_album_93,80.0
1159,photo_album_13,80.0
-13322,photo_album_1,80.0
-18312,photo_album_63,80.0
286,photo_album_47,80.0
-18310,photo_album_63,80.0
-18309,photo_album_63,80.0
1560,photo_album_76,80.0
-16902,photo_album_21,80.0
-16911,photo_album_79,80.0
-16913,photo_album_79,80.0
23,photo_album_1,80.0
934,photo_album_73,80.0
23,photo_album_81,80.0
1539,photo_album_12,80.0
-13458,photo_album_85,80.0
1518,photo_album_76,80.0
-17440,photo_album_45,80.0
89,photo_album_98,80.0
1511,photo_album_53,80.0
789,photo_album_73,80.0
27,photo_album_42,80.0
1499,photo_album_22,80.0
1495,photo_album_22,80.0
-17759,photo_album_45,80.0
1433,photo_album_94,80.0
-17910,photo_album_52,80.0
-17965,photo_album_44,80.0
1838,photo_album_72,80.0
-13434,photo_album_85,80.0
-18055,photo_album_99,80.0
-13314,photo_album_46,80.0
115,photo_album_49,80.0
471,photo_album_78,80.0
-9009,photo_album_17,80.0
100,photo_album_2,80.0
-9909,photo_album_65,80.0
-9710,photo_album_89,80.0
60,photo_album_59,80.0
-9398,photo_album_10,80.0
-9398,photo_album_28,80.0
615,photo_album_23,80.0
-9406,photo_album_29,80.0
622,photo_album_22,80.0
865,photo_album_22,80.0
64,photo_album_17,80.0
64,photo_album_49,80.0
-9431,photo_album_29,80.0
-12251,photo_album_89,80.0
860,photo_album_12,80.0
672,photo_album_78,80.0
846,photo_album_78,80.0
676,photo_album_78,80.0
68,photo_album_98,80.0
-9645,photo_album_37,80.0
-9595,photo_album_34,80.0
-9594,photo_album_34,80.0
-9559,photo_album_4,80.0
-9531,photo_album_83,80.0
-9371,photo_album_10,80.0
-13270,photo_album_14,80.0
1148,photo_album_34,80.0
576,photo_album_68,80.0
1148,photo_album_20,80.0
2125,photo_album_37,80.0
70,photo_album_98,80.0
-13309,photo_album_1,80.0
-9085,photo_album_6,80.0
-9094,photo_album_11,80.0
-9094,photo_album_17,80.0
1136,photo_album_92,80.0
483,photo_album_43,80.0
-13296,photo_album_14,80.0
5,photo_album_23,80.0
-9208,photo_album_9,80.0
-9209,photo_album_9,80.0
504,photo_album_98,80.0
51,photo_album_75,80.0
53,photo_album_98,80.0
-9251,photo_album_54,80.0
-9252,photo_album_54,80.0
1107,photo_album_94,80.0
543,photo_album_2,80.0
55,photo_album_61,80.0
-9319,photo_album_31,80.0
552,photo_album_43,80.0
932,photo_album_73,80.0
1715,photo_album_12,80.0
914,photo_album_68,80.0
-15604,photo_album_90,80.0
1643,photo_album_90,80.0
1867,photo_album_52,80.0
1753,photo_album_14,80.0
1757,photo_album_19,80.0
1649,photo_album_48,80.0
1651,photo_album_48,80.0
-15601,photo_album_90,80.0
1785,photo_album_94,80.0
1655,photo_album_48,80.0
1764,photo_album_14,80.0
-15956,photo_album_20,80.0
1763,photo_album_14,80.0
1658,photo_album_48,80.0
1757,photo_album_82,80.0
-16240,photo_album_39,80.0
2094,photo_album_24,80.0
-14488,photo_album_37,80.0
-15975,photo_album_72,80.0
-15978,photo_album_72,80.0
1675,photo_album_40,80.0
770,photo_album_78,80.0
1663,photo_album_91,80.0
-15976,photo_album_72,80.0
167,photo_album_86,80.0
908,photo_album_73,80.0
2059,photo_album_45,80.0
-15977,photo_album_72,80.0
1708,photo_album_89,80.0
207,photo_album_94,80.0
77,photo_album_92,80.0
1885,photo_album_78,80.0
1921,photo_album_22,80.0
1837,photo_album_32,80.0
1834,photo_album_85,80.0
-15391,photo_album_28,80.0
1971,photo_album_9,80.0
1976,photo_album_12,80.0
1709,photo_album_89,80.0
1937,photo_album_79,80.0
1714,photo_album_89,80.0
1826,photo_album_38,80.0
-16088,photo_album_20,80.0
1697,photo_album_12,80.0
-15418,photo_album_59,80.0
1573,photo_album_12,80.0
1689,photo_album_89,80.0
2,photo_album_17,80.0
1887,photo_album_63,80.0
1628,photo_album_76,80.0
1688,photo_album_89,80.0
90,photo_album_11,78.94736842105263
393,photo_album_30,77.77777777777777
1229,photo_album_13,77.77777777777777
-8984,photo_album_11,77.77777777777777
1546,photo_album_12,77.77777777777777
1578,photo_album_12,77.77777777777777
1638,photo_album_22,77.77777777777777
-13909,photo_album_21,77.77777777777777
1528,photo_album_12,77.77777777777777
839,photo_album_22,77.77777777777777
1856,photo_album_12,77.77777777777777
1671,photo_album_30,77.77777777777777
273,photo_album_44,76.66666666666667
52,photo_album_68,75.0
-16568,photo_album_5,75.0
158,photo_album_80,75.0
606,photo_album_15,75.0
90,photo_album_42,75.0
-12319,photo_album_15,75.0
1552,photo_album_25,75.0
63,photo_album_80,75.0
1799,photo_album_25,73.6842105263158
340,photo_album_18,73.33333333333333
158,photo_album_11,72.22222222222223
63,photo_album_11,72.22222222222223
488,photo_album_43,70.0
698,photo_album_73,70.0
1720,photo_album_26,70.0
495,photo_album_43,70.0
668,photo_album_78,70.0
667,photo_album_40,70.0
1722,photo_album_94,70.0
478,photo_album_16,70.0
477,photo_album_47,70.0
652,photo_album_78,70.0
60,photo_album_49,70.0
1815,photo_album_97,70.0
1913,photo_album_70,70.0
1916,photo_album_33,70.0
1126,photo_album_77,70.0
1715,photo_album_89,70.0
1816,photo_album_38,70.0
1816,photo_album_75,70.0
476,photo_album_43,70.0
1826,photo_album_62,70.0
470,photo_album_43,70.0
1827,photo_album_3,70.0
1840,photo_album_89,70.0
1149,photo_album_93,70.0
683,photo_album_53,70.0
1840,photo_album_15,70.0
1723,photo_album_81,70.0
1725,photo_album_81,70.0
1815,photo_album_28,70.0
1840,photo_album_95,70.0
579,photo_album_62,70.0
-9874,photo_album_65,70.0
1850,photo_album_28,70.0
693,photo_album_77,70.0
1846,photo_album_25,70.0
555,photo_album_43,70.0
1001,photo_album_23,70.0
1001,photo_album_73,70.0
55,photo_album_98,70.0
1008,photo_album_23,70.0
747,photo_album_94,70.0
1008,photo_album_73,70.0
615,photo_album_78,70.0
1858,photo_album_53,70.0
1039,photo_album_94,70.0
104,photo_album_95,70.0
696,photo_album_40,70.0
1863,photo_album_44,70.0
1114,photo_album_77,70.0
1865,photo_album_44,70.0
1799,photo_album_96,70.0
74,photo_album_98,70.0
63,photo_album_42,70.0
1804,photo_album_31,70.0
1733,photo_album_81,70.0
1841,photo_album_36,70.0
-9949,photo_album_21,70.0
115,photo_album_17,70.0
1175,photo_album_36,70.0
1702,photo_album_89,70.0
