Classifier,Train-Test Split,Accuracy,Precision,Recall,F1 score,AUC,Squared Error
logistic,0.1,0.7674418604651163,0.8,0.8,0.8000000000000002,0.788888888888889,0.23255813953488372
logistic,0.2,0.7058823529411765,0.7346938775510204,0.75,0.7422680412371135,0.7545045045045046,0.29411764705882354
logistic,0.30000000000000004,0.7401574803149606,0.7402597402597403,0.8142857142857143,0.7755102040816325,0.7794486215538847,0.25984251968503935
logistic,0.4,0.7159763313609467,0.7115384615384616,0.8043478260869565,0.7551020408163265,0.7741389045736873,0.28402366863905326
logistic,0.5,0.7109004739336493,0.697841726618705,0.8362068965517241,0.7607843137254902,0.7549909255898367,0.2890995260663507
logistic,0.6,0.7125984251968503,0.7048192771084337,0.8297872340425532,0.7622149837133549,0.7602146488420259,0.2874015748031496
logistic,0.7000000000000001,0.7027027027027027,0.740506329113924,0.7134146341463414,0.7267080745341615,0.7440410199556542,0.2972972972972973
logistic,0.8,0.6568047337278107,0.6733668341708543,0.7243243243243244,0.6979166666666666,0.70761349584879,0.3431952662721893
logistic,0.9,0.631578947368421,0.7195121951219512,0.5566037735849056,0.6276595744680851,0.7042200134770891,0.3684210526315789
svm,0.1,0.5813953488372093,0.5813953488372093,1.0,0.7352941176470588,0.7977777777777778,0.4186046511627907
svm,0.2,0.5647058823529412,0.5647058823529412,1.0,0.7218045112781954,0.7573198198198198,0.43529411764705883
svm,0.30000000000000004,0.5511811023622047,0.5511811023622047,1.0,0.7106598984771574,0.7260651629072682,0.44881889763779526
svm,0.4,0.5443786982248521,0.5443786982248521,1.0,0.7049808429118773,0.7319311123658949,0.4556213017751479
svm,0.5,0.5497630331753555,0.5497630331753555,1.0,0.7094801223241591,0.7210526315789473,0.45023696682464454
svm,0.6,0.5551181102362205,0.5551181102362205,1.0,0.7139240506329114,0.7200464444862863,0.4448818897637795
svm,0.7000000000000001,0.5540540540540541,0.5540540540540541,1.0,0.7130434782608697,0.6846359940872137,0.44594594594594594
svm,0.8,0.5473372781065089,0.5473372781065089,1.0,0.7074569789674953,0.367426249779191,0.4526627218934911
svm,0.9,0.4421052631578947,0.0,0.0,0.0,0.359697888589398,0.5578947368421052
dtree,0.1,0.7209302325581395,0.7096774193548387,0.88,0.7857142857142856,0.6866666666666666,0.27906976744186046
dtree,0.2,0.6352941176470588,0.6888888888888889,0.6458333333333334,0.6666666666666667,0.6337274774774775,0.36470588235294116
dtree,0.30000000000000004,0.6614173228346457,0.6901408450704225,0.7,0.6950354609929078,0.6543859649122807,0.33858267716535434
dtree,0.4,0.6863905325443787,0.7142857142857143,0.7065217391304348,0.7103825136612023,0.6861236589497459,0.3136094674556213
dtree,0.5,0.6350710900473934,0.6423357664233577,0.7586206896551724,0.6956521739130435,0.6235027223230489,0.36492890995260663
dtree,0.6,0.65748031496063,0.66875,0.7588652482269503,0.7109634551495015,0.6449193497771919,0.3425196850393701
dtree,0.7000000000000001,0.6182432432432432,0.650887573964497,0.6707317073170732,0.6606606606606608,0.611881005173688,0.38175675675675674
dtree,0.8,0.6804733727810651,0.6711111111111111,0.8162162162162162,0.7365853658536585,0.666278042748631,0.31952662721893493
dtree,0.9,0.6368421052631579,0.6608695652173913,0.7169811320754716,0.6877828054298641,0.6263477088948786,0.3631578947368421
random_forests,0.1,0.6744186046511628,0.72,0.72,0.72,0.7033333333333335,0.32558139534883723
random_forests,0.2,0.6823529411764706,0.6909090909090909,0.7916666666666666,0.737864077669903,0.7060810810810811,0.3176470588235294
random_forests,0.30000000000000004,0.6850393700787402,0.6973684210526315,0.7571428571428571,0.7260273972602739,0.7459899749373433,0.31496062992125984
random_forests,0.4,0.6804733727810651,0.7111111111111111,0.6956521739130435,0.7032967032967032,0.7075804630152456,0.31952662721893493
random_forests,0.5,0.6635071090047393,0.6666666666666666,0.7758620689655172,0.7171314741035856,0.6850725952813067,0.33649289099526064
random_forests,0.6,0.6614173228346457,0.6923076923076923,0.7021276595744681,0.6971830985915493,0.7102554446745748,0.33858267716535434
random_forests,0.7000000000000001,0.652027027027027,0.7226277372262774,0.6036585365853658,0.6578073089700996,0.7144539911308204,0.34797297297297297
random_forests,0.8,0.606508875739645,0.6326530612244898,0.6702702702702703,0.6509186351706037,0.6462815756933403,0.39349112426035504
random_forests,0.9,0.5578947368421052,0.7340425531914894,0.32547169811320753,0.45098039215686275,0.6653189577717878,0.4421052631578947
