,Feature,10%,Feature,20%,Feature,30%,Feature,40%,Feature,50%,Feature,60%,Feature,70%,Feature,80%,Feature,90%
1,tall,0.05570808139713237,excellent,0.03877533730193693,tall,0.05499125874664816,good,0.03096160962530938,giraffe,0.04235667188524186,good,0.034325599295241586,group,0.05311255462357316,infant,0.06310747502111007,group,0.059916114300387555
2,standing,0.029430230236323525,good,0.03423860152978876,poor,0.04203268255418592,left,0.03016187882415399,ok,0.029726197079951465,tall,0.03357341784239369,backleft,0.049013151171595916,UNKNOWN SEX,0.04018449032689109,good,0.05153719574031359
3,tree,0.0284894661618793,giraffe,0.030057569583919398,sky,0.02980006660487471,giraffe,0.029948099816309037,sky,0.029367566610114637,left,0.03251485715344096,sky,0.0391119189803482,dry,0.03539680341480803,dry,0.04290627920616647
4,ok,0.02799780893817953,left,0.027280370217489164,ok,0.029503755735288306,ok,0.029444352674419055,tall,0.027267797455254945,sky,0.03140160709889573,wild,0.03546857001320561,backleft,0.03532610330092785,Female,0.037048230047956675
5,good,0.02705336156499567,sky,0.026836300805200768,grassy,0.027342000770418373,ground,0.029338623904949363,good,0.027256676461094486,standing,0.027348030448591965,Male,0.035203438735568277,ok,0.03529888524043068,field,0.03386627485653852
6,group,0.026534303269681352,ok,0.026810544289942874,zebra_plains,0.027322178508653216,poor,0.0289200530262189,left,0.026506867912629562,grassy,0.025961246543026985,ok,0.033778219162645215,open,0.03409859885694349,____,0.033481439794763417
7,poor,0.02576205189840904,grassy,0.026635986093358172,group,0.026220969467507176,excellent,0.028302709386138387,standing,0.026289419706002203,wild,0.025552168474780784,tall,0.03272971682082324,wild,0.031151414721141003,grassy,0.031241284944866787
8,dry,0.02474659684277473,tall,0.02655541420845789,tree,0.024537943792160666,tall,0.02775996159752477,excellent,0.025243495861127112,group,0.023899121150034678,grassy,0.022498589097004813,good,0.03109125619835697,IBEIS_PZ_0872,0.030488544820441388
9,grassy,0.024719138404916623,tree,0.02622664167724163,Male,0.02351828481639737,group,0.02678739317908787,tree,0.024427946419282913,infant,0.023091443610337867,Female,0.022096444604597275,mammal,0.02665249780994512,tall,0.030242886992624472
10,sky,0.023773785339446445,open,0.022617129313020883,standing,0.023432818065377316,sky,0.026347895474129107,group,0.02435876681547542,Female,0.022915220531145572,zebra_plains,0.02190972032361057,adult,0.02603469498611774,infant,0.029629629629629634
11,left,0.02285531870553999,poor,0.022116509528604493,good,0.02142713604737531,open,0.02601176363376754,Male,0.023709973446226794,dry,0.022804536296042652,left,0.02133745723461162,UNKNOWN NAME,0.025674734100802128,ok,0.02870621806568697
12,excellent,0.021798044670170554,standing,0.021453767022277092,right,0.020981235942369798,Female,0.02413993709506417,open,0.023425800884676447,tree,0.022616063849933327,tree,0.02126223108991631,standing,0.02423809383536157,IBEIS_PZ_0404,0.026240639423051958
13,junk,0.019570077864456924,group,0.020051796933262735,field,0.02074612998181513,tree,0.023824343771287528,ground,0.02306900958090507,open,0.022026445702710156,poor,0.02105337310039753,zebra,0.024103907479287145,dirt,0.02562950476633341
14,frontleft,0.01931472244377224,right,0.01808962797867077,giraffe_masai,0.019780870411855223,grassy,0.023309271721154396,Female,0.022613828762603233,backleft,0.021649422277225293,giraffe_masai,0.019141242285652508,animal,0.022927871091715187,standing,0.02377271392056918
15,giraffe_masai,0.018948311555705623,zebra,0.017472450223947132,left,0.018889223168122193,zebra_plains,0.020992086815273946,dry,0.021845583657297194,junk,0.021461135308813738,animal,0.018970777807233673,excellent,0.022159305815865258,right,0.023478385547351065
