Classifier,Train-Test Split,Accuracy,Precision,Recall,F1 score,AUC
logistic,10.0,0.6046511627906976,0.4166666666666667,0.3333333333333333,0.3703703703703704,0.6261904761904762
logistic,20.0,0.611764705882353,0.4782608695652174,0.34375,0.4,0.6571344339622641
logistic,30.000000000000004,0.6456692913385826,0.5,0.4222222222222222,0.4578313253012048,0.6971544715447154
logistic,40.0,0.6745562130177515,0.5476190476190477,0.3898305084745763,0.45544554455445546,0.7234206471494607
logistic,50.0,0.6492890995260664,0.4722222222222222,0.4857142857142857,0.47887323943661975,0.6905775075987841
logistic,60.0,0.6653543307086615,0.5211267605633803,0.42045454545454547,0.46540880503144655,0.6947220700985761
logistic,70.0,0.668918918918919,0.5138888888888888,0.37,0.4302325581395348,0.681122448979592
logistic,80.0,0.6390532544378699,0.4444444444444444,0.3185840707964602,0.37113402061855666,0.6261553588987216
logistic,90.0,0.6657894736842105,0.5205479452054794,0.2923076923076923,0.374384236453202,0.5985076923076923
svm,10.0,0.6511627906976745,0.0,0.0,0.0,0.6
svm,20.0,0.6235294117647059,0.0,0.0,0.0,0.6329599056603774
svm,30.000000000000004,0.6456692913385826,0.0,0.0,0.0,0.6668021680216801
svm,40.0,0.650887573964497,0.0,0.0,0.0,0.6790446841294299
svm,50.0,0.6682464454976303,0.0,0.0,0.0,0.652532928064843
svm,60.0,0.6535433070866141,0.0,0.0,0.0,0.6740484665936473
svm,70.0,0.6621621621621622,0.0,0.0,0.0,0.6439285714285714
svm,80.0,0.665680473372781,0.0,0.0,0.0,0.6046017699115044
svm,90.0,0.6578947368421053,0.0,0.0,0.0,0.6143846153846154
dtree,10.0,0.4418604651162791,0.2,0.2,0.20000000000000004,0.3857142857142857
dtree,20.0,0.5764705882352941,0.43333333333333335,0.40625,0.41935483870967744,0.542747641509434
dtree,30.000000000000004,0.6299212598425197,0.47619047619047616,0.4444444444444444,0.45977011494252873,0.5846883468834688
dtree,40.0,0.621301775147929,0.4444444444444444,0.3389830508474576,0.38461538461538464,0.5558551617873652
dtree,50.0,0.6350710900473934,0.4578313253012048,0.5428571428571428,0.4967320261437908,0.615096251266464
dtree,60.0,0.6259842519685039,0.4578313253012048,0.4318181818181818,0.4444444444444444,0.580366922234392
dtree,70.0,0.6351351351351351,0.44285714285714284,0.31,0.36470588235294116,0.5555102040816327
dtree,80.0,0.5976331360946746,0.3838383838383838,0.336283185840708,0.3584905660377359,0.5325860373647985
dtree,90.0,0.6368421052631579,0.43548387096774194,0.2076923076923077,0.28125,0.5338461538461537
random_forests,10.0,0.5581395348837209,0.3333333333333333,0.26666666666666666,0.2962962962962963,0.594047619047619
random_forests,20.0,0.5764705882352941,0.375,0.1875,0.25,0.5846108490566038
random_forests,30.000000000000004,0.6299212598425197,0.46875,0.3333333333333333,0.38961038961038963,0.6590785907859078
random_forests,40.0,0.6923076923076923,0.6129032258064516,0.3220338983050847,0.4222222222222223,0.6958397534668721
random_forests,50.0,0.6729857819905213,0.5084745762711864,0.42857142857142855,0.4651162790697674,0.6898682877406281
random_forests,60.0,0.6771653543307087,0.5652173913043478,0.29545454545454547,0.3880597014925373,0.6269167579408543
random_forests,70.0,0.6655405405405406,0.5161290322580645,0.16,0.24427480916030533,0.6350510204081632
random_forests,80.0,0.6301775147928994,0.4032258064516129,0.22123893805309736,0.28571428571428575,0.6058603736479843
random_forests,90.0,0.6552631578947369,0.4918032786885246,0.23076923076923078,0.3141361256544503,0.5759692307692308
