num_images,all_bayesian_sparse,giraffes_bayesian_sparse,zebras_bayesian_sparse,all_bayesian_non_sparse,giraffes_bayesian_non_sparse,zebras_bayesian_non_sparse,all_bayesian_non_zero,giraffes_bayesian_non_zero,zebras_bayesian_non_zero,all_bayesian_abv_mean,giraffes_bayesian_abv_mean,zebras_bayesian_abv_mean,all_logistic_sparse,giraffes_logistic_sparse,zebras_logistic_sparse,all_logistic_non_sparse,giraffes_logistic_non_sparse,zebras_logistic_non_sparse,all_logistic_non_zero,giraffes_logistic_non_zero,zebras_logistic_non_zero,all_logistic_abv_mean,giraffes_logistic_abv_mean,zebras_logistic_abv_mean,all_svm_sparse,giraffes_svm_sparse,zebras_svm_sparse,all_svm_non_sparse,giraffes_svm_non_sparse,zebras_svm_non_sparse,all_svm_non_zero,giraffes_svm_non_zero,zebras_svm_non_zero,all_svm_abv_mean,giraffes_svm_abv_mean,zebras_svm_abv_mean,all_dtree_sparse,giraffes_dtree_sparse,zebras_dtree_sparse,all_dtree_non_sparse,giraffes_dtree_non_sparse,zebras_dtree_non_sparse,all_dtree_non_zero,giraffes_dtree_non_zero,zebras_dtree_non_zero,all_dtree_abv_mean,giraffes_dtree_abv_mean,zebras_dtree_abv_mean,all_random_forests_sparse,giraffes_random_forests_sparse,zebras_random_forests_sparse,all_random_forests_non_sparse,giraffes_random_forests_non_sparse,zebras_random_forests_non_sparse,all_random_forests_non_zero,giraffes_random_forests_non_zero,zebras_random_forests_non_zero,all_random_forests_abv_mean,giraffes_random_forests_abv_mean,zebras_random_forests_abv_mean,all_ada_boost_sparse,giraffes_ada_boost_sparse,zebras_ada_boost_sparse,all_ada_boost_non_sparse,giraffes_ada_boost_non_sparse,zebras_ada_boost_non_sparse,all_ada_boost_non_zero,giraffes_ada_boost_non_zero,zebras_ada_boost_non_zero,all_ada_boost_abv_mean,giraffes_ada_boost_abv_mean,zebras_ada_boost_abv_mean,all_bayesian_sparse_err,giraffes_bayesian_sparse_err,zebras_bayesian_sparse_err,all_bayesian_non_sparse_err,giraffes_bayesian_non_sparse_err,zebras_bayesian_non_sparse_err,all_bayesian_non_zero_err,giraffes_bayesian_non_zero_err,zebras_bayesian_non_zero_err,all_bayesian_abv_mean_err,giraffes_bayesian_abv_mean_err,zebras_bayesian_abv_mean_err,all_logistic_sparse_err,giraffes_logistic_sparse_err,zebras_logistic_sparse_err,all_logistic_non_sparse_err,giraffes_logistic_non_sparse_err,zebras_logistic_non_sparse_err,all_logistic_non_zero_err,giraffes_logistic_non_zero_err,zebras_logistic_non_zero_err,all_logistic_abv_mean_err,giraffes_logistic_abv_mean_err,zebras_logistic_abv_mean_err,all_svm_sparse_err,giraffes_svm_sparse_err,zebras_svm_sparse_err,all_svm_non_sparse_err,giraffes_svm_non_sparse_err,zebras_svm_non_sparse_err,all_svm_non_zero_err,giraffes_svm_non_zero_err,zebras_svm_non_zero_err,all_svm_abv_mean_err,giraffes_svm_abv_mean_err,zebras_svm_abv_mean_err,all_dtree_sparse_err,giraffes_dtree_sparse_err,zebras_dtree_sparse_err,all_dtree_non_sparse_err,giraffes_dtree_non_sparse_err,zebras_dtree_non_sparse_err,all_dtree_non_zero_err,giraffes_dtree_non_zero_err,zebras_dtree_non_zero_err,all_dtree_abv_mean_err,giraffes_dtree_abv_mean_err,zebras_dtree_abv_mean_err,all_random_forests_sparse_err,giraffes_random_forests_sparse_err,zebras_random_forests_sparse_err,all_random_forests_non_sparse_err,giraffes_random_forests_non_sparse_err,zebras_random_forests_non_sparse_err,all_random_forests_non_zero_err,giraffes_random_forests_non_zero_err,zebras_random_forests_non_zero_err,all_random_forests_abv_mean_err,giraffes_random_forests_abv_mean_err,zebras_random_forests_abv_mean_err,all_ada_boost_sparse_err,giraffes_ada_boost_sparse_err,zebras_ada_boost_sparse_err,all_ada_boost_non_sparse_err,giraffes_ada_boost_non_sparse_err,zebras_ada_boost_non_sparse_err,all_ada_boost_non_zero_err,giraffes_ada_boost_non_zero_err,zebras_ada_boost_non_zero_err,all_ada_boost_abv_mean_err,giraffes_ada_boost_abv_mean_err,zebras_ada_boost_abv_mean_err
12,8976.0,0.0,8712.0,4830.0,0.0,4690.0,7710.0,0.0,7470.0,3738.0,0.0,3626.0,3172.0,0.0,3016.0,7250.0,0.0,6873.0,3596.0,0.0,3451.0,2720.0,0.0,2602.6666666666665,5628.0,0.0,5418.0,4096.0,0.0,3936.0,4716.0,0.0,4536.0,7209.0,0.0,6885.0,4995.0,23.0,8892.0,3765.666666666666,54.0,3988.6,3766.0,46.0,5412.0,3952.0,20.0,5920.0,2858.333333333333,0.0,2606.6666666666665,1864.2,0.0,1762.8,2223.0,0.0,2071.0,1770.428571428571,0.0,1683.0,1137.5,44.0,1155.0,1819.75,23.0,3132.0,1262.857142857143,44.0,1306.6666666666667,1457.142857142857,25.0,1540.5,-147.95580110497235,100.0,-151.21107266435988,-33.42541436464088,100.0,-35.23644752018455,-112.98342541436463,100.0,-115.39792387543253,-3.2596685082872927,100.0,-4.555940023068051,12.375690607734805,100.0,13.033448673587081,-100.27624309392264,100.0,-98.1833910034602,0.6629834254143646,100.0,0.49019607843137253,24.86187845303867,100.0,24.951941560938106,-55.469613259668506,100.0,-56.22837370242215,-13.14917127071823,100.0,-13.494809688581315,-30.27624309392265,100.0,-30.795847750865054,-99.14364640883977,100.0,-98.52941176470588,-37.98342541436464,87.00564971751412,-156.40138408304497,-4.023941068139946,69.49152542372882,-15.011534025374853,-4.0331491712707175,74.01129943502825,-56.055363321799305,-9.171270718232044,88.7005649717514,-70.70357554786621,21.04051565377533,100.0,24.836601307189547,48.50276243093922,100.0,49.169550173010386,38.591160220994475,100.0,40.28258362168397,51.09313338595107,100.0,51.470588235294116,68.57734806629834,75.14124293785311,66.6955017301038,49.73066298342541,87.00564971751412,9.688581314878892,65.11444356748223,75.14124293785311,62.32218377547096,59.74743488555644,85.87570621468926,55.5795847750865
13,10656.0,0.0,10360.0,5457.5,0.0,5309.5,9273.0,0.0,9009.0,4576.0,0.0,4432.0,3915.0,0.0,3735.0,2244.0,18.0,2761.0,2904.0,0.0,2783.0,2926.0,0.0,2805.0,6744.0,0.0,6504.0,4860.0,0.0,4680.0,6720.0,0.0,6480.0,4433.0,0.0,4247.0,3572.0,24.0,4773.0,2838.0,58.0,2814.0,3453.333333333333,46.0,4497.5,3760.0,28.0,5089.5,3194.333333333333,0.0,2904.0,2066.4,0.0,1959.8,2394.0,0.0,2242.0,1755.625,0.0,1676.125,1301.5,44.0,1332.0,2178.0,24.0,3782.0,1448.2857142857142,44.0,1510.833333333333,1608.0,27.0,1694.666666666667,-194.3646408839779,100.0,-198.73125720876587,-50.75966850828729,100.0,-53.0997693194925,-156.16022099447514,100.0,-159.7750865051903,-26.408839779005522,100.0,-27.797001153402537,-8.14917127071823,100.0,-7.6989619377162635,38.011049723756905,89.83050847457628,20.38638985005767,19.779005524861876,100.0,19.7520184544406,19.171270718232044,100.0,19.11764705882353,-86.29834254143645,100.0,-87.5432525951557,-34.254143646408835,100.0,-34.94809688581315,-85.63535911602209,100.0,-86.85121107266436,-22.4585635359116,100.0,-22.462514417531718,1.3259668508287292,86.44067796610169,-37.62975778546713,21.60220994475138,67.2316384180791,18.858131487889274,4.6040515653775405,74.01129943502825,-29.685697808535178,-3.867403314917127,84.18079096045197,-46.7560553633218,11.758747697974226,100.0,16.262975778546714,42.917127071823195,100.0,43.48904267589389,33.86740331491713,100.0,35.351787773933104,51.50207182320442,100.0,51.668829296424455,64.04696132596685,75.14124293785311,61.59169550173011,39.834254143646405,86.44067796610169,-9.054209919261822,59.99210734017363,75.14124293785311,56.43502499038832,55.58011049723756,84.7457627118644,51.134179161860814
14,13508.0,0.0,13156.0,6400.0,0.0,6240.0,10800.0,0.0,10512.0,4981.666666666667,0.0,4834.666666666667,3173.333333333333,0.0,3033.333333333333,2571.5,19.0,3168.0,3470.666666666666,0.0,3331.333333333333,3312.0,0.0,3180.0,3762.5,0.0,3637.5,6744.0,0.0,6504.0,3762.5,0.0,3637.5,4848.0,0.0,4656.0,3516.0,24.0,5447.25,3172.333333333333,58.0,3162.25,3054.5,48.0,3562.0,4242.666666666667,29.0,5754.0,3653.333333333334,0.0,3341.0,2251.2,0.0,2142.0,2870.25,0.0,2687.5,1931.875,0.0,1849.375,1316.5555555555557,44.0,1335.75,2556.0,39.0,4339.5,1445.0,44.0,1487.428571428571,1425.0,27.0,1457.5,-273.1491712707182,100.0,-279.35409457900806,-76.79558011049723,100.0,-79.93079584775087,-198.34254143646407,100.0,-203.1141868512111,-37.615101289134444,100.0,-39.40792003075741,12.338858195211794,100.0,12.533640907343338,28.964088397790054,89.26553672316385,8.650519031141869,4.125230202578285,100.0,3.940792003075749,8.508287292817679,100.0,8.304498269896193,-3.93646408839779,100.0,-4.887543252595155,-86.29834254143645,100.0,-87.5432525951557,-3.93646408839779,100.0,-4.887543252595155,-33.92265193370166,100.0,-34.2560553633218,2.87292817679558,86.44067796610169,-57.07179930795848,12.36648250460406,67.2316384180791,8.81632064590542,15.621546961325965,72.88135593220339,-2.7104959630911187,-17.200736648250466,83.61581920903954,-65.91695501730104,-0.9208103130755231,100.0,3.6620530565167244,37.8121546961326,100.0,38.23529411764706,20.711325966850826,100.0,22.50576701268743,46.63328729281768,100.0,46.67315455594002,63.63106200122774,75.14124293785311,61.483564013840834,29.392265193370164,77.96610169491525,-25.129757785467127,60.08287292817679,75.14124293785311,57.10990278464328,60.635359116022094,84.7457627118644,57.97289504036909
15,15322.0,0.0,14946.0,7370.0,0.0,7194.0,12997.0,0.0,12669.0,5333.333333333333,0.0,5183.333333333333,3660.666666666666,0.0,3496.0,3023.75,21.0,3746.666666666666,3736.666666666666,0.0,3584.666666666666,3686.0,0.0,3534.0,4212.0,0.0,4063.5,7956.0,0.0,7644.0,4056.0,0.0,3913.0,3706.0,0.0,3570.0,3414.75,24.0,4872.0,3441.1111111111113,64.0,3417.75,2927.777777777778,41.66666666666666,3800.0,4030.0,30.0,5108.6,4171.0,0.0,3836.0,2476.8,0.0,2339.2,2585.2,0.0,2428.8,2227.25,0.0,2146.125,1442.888888888889,44.0,1470.875,2355.6,42.0,3384.0,1585.5,44.0,1640.0,1577.111111111111,29.0,1621.5,-323.2596685082873,100.0,-330.9688581314879,-103.59116022099447,100.0,-107.43944636678201,-259.0331491712707,100.0,-265.3114186851211,-47.32965009208102,100.0,-49.46174548250672,-1.123388581952101,100.0,-0.8073817762399077,16.47099447513812,88.13559322033898,-8.035371011149541,-3.2228360957642557,100.0,-3.3640907343329314,-1.8232044198895025,100.0,-1.9031141868512111,-16.353591160220994,100.0,-17.17128027681661,-119.77900552486187,100.0,-120.41522491349481,-12.044198895027623,100.0,-12.831603229527104,-2.3756906077348066,100.0,-2.9411764705882355,5.66988950276243,86.44067796610169,-40.484429065743946,4.941682013505212,63.84180790960452,1.448961937716263,19.122160834868016,76.45951035781545,-9.573241061130334,-11.325966850828728,83.05084745762711,-47.30680507497117,-15.22099447513812,100.0,-10.611303344867359,31.580110497237563,100.0,32.54901960784314,28.585635359116026,100.0,29.96539792387543,38.47375690607735,100.0,38.11634948096886,60.141190914671576,75.14124293785311,57.58722606689735,34.92817679558011,76.27118644067797,2.422145328719723,56.20165745856353,75.14124293785311,52.71049596309112,56.43339472068754,83.61581920903954,53.2439446366782
16,5537.0,0.0,5390.0,8272.0,0.0,8084.0,14276.0,0.0,13889.0,6328.0,0.0,6141.333333333332,3126.25,0.0,2982.75,2198.0,24.0,2451.8,4270.0,0.0,4088.0,3020.0,0.0,2900.0,4414.5,0.0,4266.0,4814.0,0.0,4611.0,4401.0,0.0,4252.5,3334.5,0.0,3217.5,3055.0,27.0,3874.0,3082.5454545454545,64.0,3014.4,2793.4545454545455,53.33333333333334,3360.375,3535.1111111111113,31.0,4125.714285714285,4646.0,0.0,4275.0,2361.333333333333,0.0,2215.6666666666665,2149.285714285714,23.0,2308.333333333333,2308.375,0.0,2219.875,1575.0,50.0,1607.125,2615.8,43.5,3774.666666666666,1732.5,50.0,1794.0,1733.333333333333,29.0,1788.5,-52.95580110497237,100.0,-55.42099192618224,-128.50828729281767,100.0,-133.10265282583623,-294.36464088397787,100.0,-300.4901960784314,-74.80662983425414,100.0,-77.08573625528639,13.639502762430938,100.0,13.992214532871973,39.2817679558011,86.44067796610169,29.302191464821217,-17.955801104972373,100.0,-17.87773933102653,16.574585635359114,100.0,16.37831603229527,-21.947513812154693,100.0,-23.01038062283737,-32.98342541436464,100.0,-32.95847750865052,-21.574585635359114,100.0,-22.621107266435985,7.886740331491712,100.0,7.22318339100346,15.607734806629834,84.7457627118644,-11.707035755478662,14.84681064791562,63.84180790960452,13.079584775086502,22.8327473631341,69.86817325800376,3.1033737024221453,2.3449969306322838,82.48587570621469,-18.965233152084352,-28.342541436464085,100.0,-23.269896193771626,34.76979742173113,100.0,36.111111111111114,40.627466456195734,87.00564971751412,33.43906189926952,36.23273480662983,100.0,35.989763552479815,56.491712707182316,71.75141242937853,53.65844867358708,27.7403314917127,75.42372881355932,-8.842752787389449,52.14088397790055,71.75141242937853,48.26989619377163,52.11786372007367,83.61581920903954,48.42848904267589
17,5966.666666666668,0.0,5800.0,4730.25,0.0,4615.5,8010.0,0.0,7785.0,6882.666666666668,0.0,6670.0,2662.8,0.0,2545.2,2484.0,24.0,2781.0,2816.0,0.0,2701.6,2760.6,0.0,2648.8,5409.5,0.0,5223.5,5175.0,0.0,4965.0,5235.0,0.0,5055.0,3177.0,0.0,3060.0,2657.076923076923,27.0,3087.0,3094.0,66.0,3004.3636363636365,2650.153846153846,53.33333333333334,3036.2,2941.0,32.0,3210.0,3116.4,0.0,2870.4,2353.285714285714,0.0,2171.428571428572,2099.25,24.0,2210.8571428571427,2445.0,0.0,2347.5,1949.2222222222226,54.0,1995.375,3137.2,43.5,4586.666666666667,2151.5,54.0,2235.714285714286,1864.333333333333,29.0,1931.25,-64.82504604051569,100.0,-67.24336793540945,-30.669889502762427,100.0,-33.088235294117645,-121.27071823204419,100.0,-124.48096885813149,-90.1289134438306,100.0,-92.32987312572088,26.441988950276237,100.0,26.608996539792393,31.381215469613256,86.44067796610169,19.80968858131488,22.209944751381215,100.0,22.099192618223764,23.74033149171271,100.0,23.621683967704723,-49.433701657458556,100.0,-50.6199538638985,-42.95580110497237,100.0,-43.16608996539792,-44.613259668508285,100.0,-45.761245674740486,12.23756906077348,100.0,11.764705882352942,26.600084997875058,84.7457627118644,10.986159169550174,14.53038674033149,62.71186440677966,13.368983957219248,26.79133021674458,69.86817325800376,12.450980392156868,18.756906077348066,81.92090395480226,7.439446366782007,13.911602209944748,100.0,17.2318339100346,34.99210734017364,100.0,37.386719393639794,42.00966850828729,86.44067796610169,36.24979403526117,32.4585635359116,100.0,32.30968858131488,46.15408225905462,69.49152542372882,42.463235294117645,13.33701657458564,75.42372881355932,-32.2568242983468,40.56629834254144,69.49152542372882,35.53303674410941,48.49907918968693,83.61581920903954,44.312283737024224
18,6358.0,0.0,6171.0,4908.75,0.0,4794.0,8441.0,0.0,8188.0,5292.5,0.0,5133.0,2921.6,0.0,2798.4,2809.333333333333,25.0,3148.8,3072.8,0.0,2953.2,2105.714285714286,0.0,2017.7142857142856,5989.5,0.0,5775.0,3786.666666666666,0.0,3637.333333333334,5956.5,0.0,5758.5,3496.8,0.0,3374.6,2681.714285714286,40.0,3054.5454545454545,3156.9230769230767,68.0,3056.333333333333,2472.0,66.0,2699.833333333333,2763.5714285714284,33.0,2938.0,2856.0,29.0,3150.0,2473.714285714286,0.0,2287.714285714286,2052.0,25.0,2128.0,2760.0,0.0,2656.0,2121.777777777778,56.0,2173.5,3398.4,45.0,4995.0,2387.0,56.0,2484.0,2128.0,32.0,2200.0,-75.63535911602209,100.0,-77.94117647058823,-35.600828729281766,100.0,-38.23529411764706,-133.17679558011048,100.0,-136.10149942329872,-46.20165745856353,100.0,-48.010380622837374,19.292817679558013,100.0,19.30795847750865,22.394106813996324,85.87570621468926,9.204152249134943,15.116022099447507,100.0,14.844290657439451,41.83109707971586,100.0,41.819080573405834,-65.45580110497237,100.0,-66.52249134948097,-4.604051565377515,100.0,-4.882737408688984,-64.54419889502762,100.0,-66.04671280276817,3.4033149171270667,100.0,2.6931949250288376,25.91949486977111,77.40112994350282,11.921988046555521,12.792180195495119,61.5819209039548,11.870434448289128,31.71270718232044,62.71186440677966,22.150134563629383,23.65824782951855,81.35593220338983,15.282583621683967,21.104972375690608,83.61581920903954,9.16955017301038,31.66535122336227,100.0,34.03361344537815,43.31491712707182,85.87570621468926,38.63898500576701,23.756906077348063,100.0,23.414071510957324,41.38735420503376,68.36158192090396,37.326989619377166,6.121546961325964,74.57627118644068,-44.03114186851211,34.06077348066298,68.36158192090396,28.37370242214533,41.215469613259664,81.92090395480226,36.562860438292965
19,4123.4,0.0,4006.8,4444.0,0.0,4345.0,3927.0,0.0,3814.8,3832.833333333334,0.0,3721.0,2726.0,0.0,2616.333333333333,3127.0,25.0,3515.2,2792.0,0.0,2680.0,2577.714285714286,0.0,2466.285714285714,4351.666666666667,0.0,4200.0,3285.0,0.0,3150.0,4351.666666666667,0.0,4200.0,3112.0,0.0,2992.0,2657.0666666666666,44.0,2975.0,2934.4,78.0,2836.4285714285716,2484.375,66.0,2684.615384615385,2625.0,33.0,2742.142857142857,2692.285714285714,30.0,2888.5,2533.142857142857,0.0,2346.0,2191.1111111111113,25.0,2280.0,3009.0,0.0,2898.5,1930.909090909091,60.0,1932.3,3119.5,45.0,4152.0,2124.0,60.0,2147.0,2207.2,64.0,2226.6666666666665,-13.906077348066287,100.0,-15.5363321799308,-22.76243093922652,100.0,-25.288350634371398,-8.480662983425415,100.0,-10.000000000000005,-5.879373848987125,100.0,-7.295271049596309,24.696132596685082,100.0,24.557862360630537,13.618784530386739,85.87570621468926,-1.3610149942329821,22.87292817679558,100.0,22.722029988465973,28.79242304656669,100.0,28.884494974460374,-20.211786372007374,100.0,-21.10726643598616,9.254143646408838,100.0,9.16955017301038,-20.211786372007374,100.0,-21.10726643598616,14.033149171270717,100.0,13.725490196078432,26.60036832412523,75.14124293785311,14.215686274509803,18.939226519337012,55.932203389830505,18.211402207941997,31.370856353591158,62.71186440677966,22.588945080294543,27.486187845303863,81.35593220338983,20.930136760586596,25.627466456195737,83.05084745762711,16.709919261822375,30.02367797947909,100.0,32.35294117647059,39.4720687538367,85.87570621468926,34.2560553633218,16.87845303867403,100.0,16.42156862745098,46.65996986438975,66.10169491525424,44.28200692041523,13.825966850828728,74.57627118644068,-19.72318339100346,41.32596685082873,66.10169491525424,38.09111880046136,39.027624309392266,63.84180790960452,35.79392541330258
20,3770.666666666666,0.0,3668.0,3548.4285714285716,0.0,3464.142857142857,4276.8,0.0,4158.0,3591.0,0.0,3492.0,2956.333333333333,0.0,2825.666666666666,3082.285714285714,27.0,3372.5,2578.5714285714284,0.0,2464.285714285714,2820.714285714286,0.0,2687.142857142857,3561.25,0.0,3431.75,3734.25,0.0,3588.0,3561.25,0.0,3422.5,2979.857142857143,0.0,2863.285714285714,2848.5333333333333,44.0,3202.5,3112.666666666666,117.0,2992.0,2330.222222222222,66.0,2464.4,2747.3125,33.0,2878.0714285714284,2715.0,31.0,2857.285714285714,2485.0,0.0,2310.0,2426.444444444445,52.0,2485.375,3448.5,0.0,3325.0,2136.2727272727275,64.0,2141.1,3156.857142857143,45.0,3960.0,2312.6,64.0,2340.0,2135.2727272727275,66.0,2132.8,-4.162062615101272,100.0,-5.767012687427912,1.977111286503548,100.0,0.11122095897183151,-18.143646408839782,100.0,-19.896193771626297,0.8011049723756906,100.0,-0.6920415224913495,18.33333333333334,100.0,18.521722414455997,14.853985793212313,84.7457627118644,2.753748558246828,28.76874506708761,100.0,28.942165101334652,22.079715864246246,100.0,22.51606524962927,1.6229281767955799,100.0,1.0452710495963091,-3.1560773480662982,100.0,-3.4602076124567476,1.6229281767955799,100.0,1.3119953863898501,17.683504340962894,100.0,17.43697478991597,21.31123388581952,75.14124293785311,7.655709342560554,14.014732965009223,33.898305084745765,13.725490196078432,35.629220380601595,62.71186440677966,28.938869665513263,24.10738950276243,81.35593220338983,17.01062778052398,24.999999999999996,82.48587570621469,17.609985170538806,31.353591160220994,100.0,33.391003460207614,32.97114794352362,70.62146892655367,28.334054209919262,4.73756906077348,100.0,4.1234140715109575,40.98694123556001,63.84180790960452,38.261245674740486,12.794001578531956,74.57627118644068,-14.186851211072664,36.11602209944751,63.84180790960452,32.52595155709343,41.014565544952276,62.71186440677966,38.500576701268734
21,4378.5,0.0,4263.0,3738.4285714285716,0.0,3651.285714285714,3322.285714285714,0.0,3232.714285714286,3853.571428571429,0.0,3742.142857142857,2739.428571428572,0.0,2615.5714285714284,3064.0,28.0,3294.0,2531.25,27.0,2718.142857142857,3061.714285714286,0.0,2915.142857142857,3564.0,0.0,3432.0,3609.0,0.0,3474.0,4151.25,0.0,3997.5,2424.4,0.0,2325.8,2618.294117647059,44.0,2866.0714285714284,3194.875,117.0,3070.2,2338.9473684210525,66.0,2457.0,2571.333333333333,51.0,2627.25,2779.333333333333,33.0,2876.25,2220.0,0.0,2076.8,2618.0,54.0,2684.0,3420.0,0.0,3258.0,2386.181818181818,66.0,2395.8,2932.5,31.0,4206.6,2586.2,66.0,2621.6666666666665,1900.0,66.0,1874.25,-20.95303867403315,100.0,-22.923875432525953,-3.271507498026838,100.0,-5.2850551985500065,8.224151539068668,100.0,6.784478497281263,-6.4522494080505215,100.0,-7.904926676552967,24.325177584846074,100.0,24.579831932773114,15.359116022099446,84.18079096045197,5.017301038062284,30.075966850828728,84.7457627118644,21.622178283077943,15.422257300710337,100.0,15.94167078596145,1.5469613259668507,100.0,1.0380622837370241,0.30386740331491713,100.0,-0.17301038062283738,-14.675414364640883,100.0,-15.268166089965398,33.02762430939226,100.0,32.9354094579008,27.67143321416964,75.14124293785311,17.35664854176965,11.743784530386739,33.898305084745765,11.470588235294123,35.38819424251236,62.71186440677966,29.152249134948097,28.968692449355437,71.1864406779661,24.243079584775085,23.22283609576428,81.35593220338983,17.063148788927336,38.674033149171265,100.0,40.115340253748556,27.67955801104972,69.49152542372882,22.606689734717417,5.524861878453038,100.0,6.055363321799308,34.08337518834757,62.71186440677966,30.91695501730103,18.99171270718232,82.48587570621469,-21.297577854671292,28.55801104972376,62.71186440677966,24.404075355632454,47.513812154696126,62.71186440677966,45.955882352941174
22,3208.555555555556,0.0,3119.222222222222,4095.0,0.0,3992.857142857143,3600.0,0.0,3497.142857142857,4209.0,0.0,4080.857142857143,3025.0,0.0,2883.5714285714284,3308.125,29.0,3554.5714285714284,2716.0,29.0,2907.142857142857,2981.375,29.0,3188.5714285714284,3929.2,0.0,3778.8,3771.0,0.0,3627.0,3696.0,0.0,3555.2,2418.0,0.0,2322.181818181818,2720.555555555556,56.66666666666666,2922.933333333333,2717.8,117.0,2584.421052631579,2263.714285714286,77.0,2324.277777777778,2549.368421052632,51.0,2595.1764705882347,2838.0,34.0,2941.25,2280.0,0.0,2135.8,2633.1,58.0,2665.0,3449.6,0.0,3291.2,2526.3636363636365,68.0,2536.4,3224.0,35.0,4599.4,2739.3,68.0,2776.777777777778,2124.5384615384614,68.0,2098.75,11.365868631061986,100.0,10.057029347686788,-13.121546961325965,100.0,-15.134289009721543,0.5524861878453038,100.0,-0.840336134453774,-16.270718232044196,100.0,-17.671774592189823,16.436464088397788,100.0,16.85203493161971,8.615331491712707,83.61581920903954,-2.4962926347009353,24.972375690607734,83.61581920903954,16.17235129345857,17.641574585635357,83.61581920903954,8.057340583292143,-8.541436464088392,100.0,-8.96193771626298,-4.171270718232043,100.0,-4.58477508650519,-2.0994475138121547,100.0,-2.5144175317185646,33.20441988950276,100.0,33.03973996015519,24.846531614487397,67.98493408662901,15.717031910803549,24.92265193370165,33.898305084745765,25.478054999089412,37.46645619573796,56.497175141242934,32.97930283224401,29.575457981971486,71.1864406779661,25.1679218400163,21.60220994475138,80.7909604519774,15.188869665513264,37.016574585635354,100.0,38.41407151095732,27.26243093922652,67.2316384180791,23.15455594002307,4.707182320441991,100.0,5.0980392156862795,30.210949271722747,61.5819209039548,26.862745098039213,10.939226519337016,80.22598870056497,-32.62399077277969,24.32872928176795,61.5819209039548,19.931436626938357,41.311092222694434,61.5819209039548,39.482410611303344
23,3182.4,0.0,3088.8,3437.777777777778,0.0,3347.1111111111113,3449.25,0.0,3346.875,3960.0,0.0,3843.0,3240.857142857143,0.0,3094.285714285714,3067.555555555556,29.0,3249.5,2850.0,30.0,3048.0,3200.0,29.0,3429.0,3833.666666666666,0.0,3692.333333333334,4002.0,0.0,3854.8,3625.0,0.0,3491.666666666666,2538.6666666666665,0.0,2442.333333333333,2712.9473684210525,58.33333333333334,2885.5,2602.1363636363635,117.0,2468.5714285714284,2399.333333333333,79.33333333333333,2466.6666666666665,2425.761904761905,51.0,2446.9473684210525,2977.777777777778,37.0,3069.0,2522.0,0.0,2368.0,2534.181818181818,58.0,2546.0,3120.333333333333,0.0,2959.333333333333,2098.285714285714,68.0,2067.692307692308,3368.0,36.0,4806.8,2228.3076923076924,68.0,2208.0,2361.846153846154,68.0,2343.333333333333,12.088397790055245,100.0,10.934256055363317,5.033763044812766,100.0,3.485838779956421,4.716850828729282,100.0,3.4926470588235294,-9.392265193370164,100.0,-10.813148788927336,10.473559589581681,100.0,10.776075135936729,15.260896255371376,83.61581920903954,6.300461361014994,21.270718232044196,83.05084745762711,12.110726643598616,11.60220994475138,83.61581920903954,1.1245674740484428,-5.902394106813979,100.0,-6.468665897731659,-10.552486187845304,100.0,-11.153402537485588,-0.13812154696132595,100.0,-0.6824298346789521,29.87108655616943,100.0,29.57516339869282,25.05670252980518,67.04331450094162,16.796424452133795,28.117780010045205,33.898305084745765,28.818586258032628,33.72007366482505,55.1789077212806,28.873510188389087,32.9900026308866,71.1864406779661,29.44211740423724,17.740945365254756,79.09604519774011,11.505190311418685,30.33149171270718,100.0,31.718569780853517,29.994977398292317,67.2316384180791,26.585928489042676,13.802946593001849,100.0,14.667435601691666,42.03630623520126,61.5819209039548,40.3779611392068,6.961325966850828,79.66101694915254,-38.60438292964245,38.44453888652783,61.5819209039548,36.332179930795846,34.755631109222264,61.5819209039548,32.429834678969634
