GID,Stats
723,"{'variance': 326.54320987654324, 'standard_deviation': 18.070506630322882}"
705,"{'variance': 317.69547325102883, 'standard_deviation': 17.82401394891254}"
353,"{'variance': 300.0, 'standard_deviation': 17.320508075688775}"
372,"{'variance': 300.0, 'standard_deviation': 17.320508075688775}"
96,"{'variance': 300.0, 'standard_deviation': 17.320508075688775}"
8353,"{'variance': 291.6666666666667, 'standard_deviation': 17.07825127659933}"
352,"{'variance': 289.30041152263374, 'standard_deviation': 17.00883333808153}"
496,"{'variance': 286.4197530864197, 'standard_deviation': 16.923940235253127}"
399,"{'variance': 266.6666666666667, 'standard_deviation': 16.32993161855452}"
1920,"{'variance': 253.125, 'standard_deviation': 15.90990257669732}"
360,"{'variance': 244.69135802469134, 'standard_deviation': 15.642613529224947}"
5021,"{'variance': 233.33333333333334, 'standard_deviation': 15.275252316519467}"
8315,"{'variance': 233.33333333333334, 'standard_deviation': 15.275252316519467}"
8341,"{'variance': 225.0, 'standard_deviation': 15.0}"
8328,"{'variance': 220.0, 'standard_deviation': 14.832396974191326}"
8322,"{'variance': 216.66666666666666, 'standard_deviation': 14.719601443879744}"
8326,"{'variance': 215.12345679012344, 'standard_deviation': 14.667087536048983}"
8318,"{'variance': 209.375, 'standard_deviation': 14.469796128487781}"
536,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
7532,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
5369,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
1781,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
974,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
3115,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
984,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
3417,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
1315,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
193,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
242,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
631,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
3162,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
3327,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
4986,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
978,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
316,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
3122,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
6597,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
373,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
400,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
4893,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
2458,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
76,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
84,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
3084,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
4876,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
8349,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
402,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
583,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
7773,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
8338,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
710,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
7744,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
4996,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
973,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
398,"{'variance': 200.0, 'standard_deviation': 14.142135623730951}"
