,,Share Proportion,Standard Deviation,Variance
360,photo_album_14,70.0,,
360,photo_album_19,100.0,,
360,photo_album_46,80.0,,
360,photo_album_82,60.0,,
362,photo_album_1,11.11111111111111,30.068508881177472,904.1152263374486
362,photo_album_19,30.0,,
362,photo_album_82,70.0,,
363,photo_album_14,90.0,7.0710678118654755,50.0
363,photo_album_46,80.0,,
369,photo_album_1,50.0,21.213203435596427,450.0
369,photo_album_14,80.0,,
371,photo_album_14,44.44444444444444,5.010277503136549,25.102880658436213
371,photo_album_46,40.0,,
371,photo_album_82,50.0,,
372,photo_album_14,0.0,17.320508075688775,300.0
372,photo_album_19,0.0,,
372,photo_album_46,30.0,,
372,photo_album_82,30.0,,
373,photo_album_1,40.0,14.142135623730951,200.0
373,photo_album_19,60.0,,
374,photo_album_1,10.0,28.284271247461902,800.0
374,photo_album_46,50.0,,
376,photo_album_19,50.0,7.0710678118654755,50.0
376,photo_album_46,60.0,,
379,photo_album_14,40.0,7.0710678118654755,50.0
379,photo_album_46,50.0,,
382,photo_album_14,60.0,21.213203435596427,450.0
382,photo_album_82,90.0,,
386,photo_album_19,80.0,5.773502691896257,33.33333333333333
386,photo_album_46,90.0,,
386,photo_album_82,80.0,,
388,photo_album_1,50.0,25.16611478423583,633.3333333333333
388,photo_album_14,80.0,,
388,photo_album_46,100.0,,
392,photo_album_19,30.0,28.284271247461902,800.0
392,photo_album_46,70.0,,
393,photo_album_19,100.0,21.213203435596427,450.0
393,photo_album_82,70.0,,
394,photo_album_1,20.0,20.816659994661325,433.3333333333333
394,photo_album_19,10.0,,
394,photo_album_46,50.0,,
395,photo_album_1,20.0,28.284271247461902,800.0
395,photo_album_82,60.0,,
398,photo_album_14,40.0,14.142135623730951,200.0
398,photo_album_19,60.0,,
399,photo_album_1,10.0,16.32993161855452,266.6666666666667
399,photo_album_14,30.0,,
399,photo_album_19,30.0,,
399,photo_album_82,50.0,,
400,photo_album_14,10.0,14.142135623730951,200.0
400,photo_album_19,30.0,,
402,photo_album_46,70.0,14.142135623730951,200.0
402,photo_album_82,50.0,,
403,photo_album_1,40.0,10.0,100.0
403,photo_album_19,50.0,,
403,photo_album_82,60.0,,
405,photo_album_14,40.0,35.35533905932738,1250.0
405,photo_album_46,90.0,,
478,photo_album_20,60.0,30.0,900.0
478,photo_album_59,30.0,,
478,photo_album_72,90.0,,
479,photo_album_59,60.0,7.0710678118654755,50.0
479,photo_album_72,70.0,,
481,photo_album_10,10.0,28.284271247461902,800.0
481,photo_album_28,50.0,,
485,photo_album_28,90.0,7.0710678118654755,50.0
485,photo_album_36,80.0,,
4870,photo_album_51,30.0,0.0,0.0
4870,photo_album_58,30.0,,
