AID,GID,Album,Shared,Not Shared,Proportion,AGE,EXEMPLAR_FLAG,INDIVIDUAL_NAME,NID,QUALITY,SEX,SPECIES,VIEW_POINT
9271,5712,photo_album_24,10,0,100,infant,0,____,-9271,ok,UNKNOWN NAME,giraffe_masai,right
17142,2870,photo_album_79,10,0,100,infant,1,IBEIS_PZ_1662,1935,good,Male,zebra_plains,left
12621,3253,photo_album_18,10,0,100,"juvenille, two year old",1,IBEIS_PZ_0865,1138,ok,UNKNOWN SEX,zebra_plains,left
12622,3253,photo_album_18,10,0,100,adult,0,IBEIS_PZ_0872,1145,poor,UNKNOWN SEX,zebra_plains,left
12404,1323,photo_album_15,9,0,100,adult,0,IBEIS_PZ_0722,995,good,Female,zebra_plains,left
12405,1323,photo_album_15,9,0,100,infant,1,IBEIS_PZ_1102,1375,excellent,Female,zebra_plains,left
12406,1323,photo_album_15,9,0,100,adult,0,IBEIS_PZ_1905,2178,ok,Male,zebra_plains,left
12407,1323,photo_album_15,9,0,100,adult,1,IBEIS_PZ_1113,1386,good,Male,zebra_plains,left
13429,34,photo_album_85,10,0,100,infant,0,____,-13429,good,UNKNOWN NAME,zebra_plains,right
13429,34,photo_album_8,10,0,100,infant,0,____,-13429,good,UNKNOWN NAME,zebra_plains,right
12399,1300,photo_album_15,9,0,100,adult,0,IBEIS_PZ_0334,607,ok,Female,zebra_plains,backleft
12400,1300,photo_album_15,9,0,100,infant,0,IBEIS_PZ_1428,1701,ok,UNKNOWN SEX,zebra_plains,backleft
12401,1300,photo_album_15,9,0,100,adult,1,IBEIS_PZ_1426,1699,good,Female,zebra_plains,left
14656,2457,photo_album_9,10,0,100,adult,1,IBEIS_PZ_1227,1500,excellent,Male,zebra_plains,left
14657,2457,photo_album_9,10,0,100,adult,0,IBEIS_PZ_1267,1540,good,Female,zebra_plains,left
14658,2457,photo_album_9,10,0,100,adult,0,IBEIS_PZ_1892,2165,ok,Female,zebra_plains,left
13289,393,photo_album_19,9,0,100,infant,0,____,-13289,excellent,UNKNOWN NAME,zebra_plains,right
16027,5209,photo_album_64,10,0,100,adult,0,IBEIS_PZ_1825,2098,ok,Female,zebra_plains,left
16028,5209,photo_album_64,10,0,100,infant,0,____,-16028,junk,UNKNOWN NAME,zebra_plains,left
12309,1330,photo_album_15,9,0,100,adult,1,IBEIS_PZ_1440,1713,excellent,Male,zebra_plains,left
12310,1330,photo_album_15,9,0,100,infant,0,____,-12310,poor,UNKNOWN NAME,zebra_plains,left
9690,1333,photo_album_15,9,0,100,infant,0,____,-9690,ok,UNKNOWN NAME,giraffe_masai,right
9691,1333,photo_album_15,9,0,100,infant,0,____,-9691,ok,UNKNOWN NAME,giraffe_masai,right
9692,1333,photo_album_15,9,0,100,infant,0,____,-9692,ok,UNKNOWN NAME,giraffe_masai,right
12562,3289,photo_album_13,10,0,100,adult,0,IBEIS_PZ_0214,487,ok,Male,zebra_plains,left
17363,6616,photo_album_66,10,0,100,infant,0,____,-17363,poor,UNKNOWN NAME,zebra_plains,left
15282,1532,photo_album_12,10,0,100,adult,0,IBEIS_PZ_1275,1548,good,Male,zebra_plains,frontleft
14582,2151,photo_album_9,10,0,100,adult,0,IBEIS_PZ_0355,628,excellent,Male,zebra_plains,frontleft
13249,7768,photo_album_71,10,0,100,adult,0,IBEIS_PZ_0519,792,good,Female,zebra_plains,left
9235,1731,photo_album_25,10,0,100,adult,0,NNP_GIRM_0110,157,ok,Male,giraffe_masai,left
9236,1731,photo_album_25,10,0,100,infant,0,____,-9236,poor,UNKNOWN NAME,giraffe_masai,right
9399,616,photo_album_20,10,0,100,infant,0,____,-9399,excellent,UNKNOWN NAME,giraffe_masai,right
17783,6663,photo_album_66,10,0,100,infant,0,____,-17783,ok,UNKNOWN NAME,zebra_plains,right
17784,6663,photo_album_66,10,0,100,infant,0,____,-17784,poor,UNKNOWN NAME,zebra_plains,right
13310,360,photo_album_19,10,0,100,"juvenille, two year old",1,IBEIS_PZ_0996,1269,good,Female,zebra_plains,left
13961,1869,photo_album_54,10,0,100,"juvenille, one year old",0,IBEIS_PZ_1698,1971,good,Male,zebra_plains,left
15392,533,photo_album_10,10,0,100,infant,0,____,-15392,poor,UNKNOWN NAME,zebra_plains,left
14935,2311,photo_album_9,10,0,100,adult,0,IBEIS_PZ_1896,2169,excellent,Female,zebra_plains,left
17328,2695,photo_album_21,9,0,100,adult,1,IBEIS_PZ_1668,1941,good,Male,zebra_plains,frontleft
14226,787,photo_album_70,10,0,100,infant,0,IBEIS_PZ_1285,1558,ok,Female,zebra_plains,left
12683,3274,photo_album_18,10,0,100,adult,1,IBEIS_PZ_0901,1174,ok,Male,zebra_plains,frontleft
15477,329,photo_album_38,10,0,100,infant,1,IBEIS_PZ_1005,1278,excellent,Male,zebra_plains,left
16831,2841,photo_album_79,10,0,100,adult,1,IBEIS_PZ_1666,1939,good,Female,zebra_plains,left
9478,913,photo_album_50,10,0,100,adult,0,NNP_GIRM_0143,234,good,Female,giraffe_masai,left
9479,913,photo_album_50,10,0,100,infant,0,____,-9479,poor,UNKNOWN NAME,giraffe_masai,frontright
9520,1732,photo_album_76,10,0,100,adult,1,NNP_GIRM_0110,157,good,Male,giraffe_masai,left
12499,3261,photo_album_13,10,0,100,adult,0,IBEIS_PZ_0881,1154,ok,Female,zebra_plains,frontleft
12500,3261,photo_album_13,10,0,100,adult,0,IBEIS_PZ_0870,1143,poor,Female,zebra_plains,left
12501,3261,photo_album_13,10,0,100,infant,0,IBEIS_PZ_0988,1261,poor,UNKNOWN SEX,zebra_plains,left
9389,585,photo_album_36,10,0,100,infant,0,____,-9389,junk,UNKNOWN NAME,giraffe_masai,back
9390,585,photo_album_36,10,0,100,infant,0,____,-9390,ok,UNKNOWN NAME,giraffe_masai,right
8867,8325,photo_album_55,10,0,100,infant,0,NNP_GIRM_0048,64,poor,UNKNOWN SEX,giraffe_masai,left
9108,8353,photo_album_42,10,0,100,adult,1,NNP_GIRM_0089,115,ok,Female,giraffe_masai,left
9341,516,photo_album_10,9,0,100,infant,0,____,-9341,junk,UNKNOWN NAME,giraffe_masai,right
11806,9019,photo_album_68,10,0,100,adult,0,IBEIS_PZ_0595,868,ok,Male,zebra_plains,left
9681,1332,photo_album_15,9,0,100,infant,0,____,-9681,good,UNKNOWN NAME,giraffe_masai,right
