threshold,zebras,confidence
40,5683.99055542534,2953.4794520547944
45,5683.99055542534,2953.4794520547944
50,5624.213893584297,2922.986301369863
55,8713.772622968767,4479.428571428572
60,0.0,
65,0.0,
70,0.0,
75,0.0,
80,0.0,
85,0.0,
