threshold,all,giraffes,zebras
40,3620.9302325581393,176.8,3468.3529411764707
45,3620.9302325581393,176.8,3468.3529411764707
50,3381.5748031496064,171.7,3230.769230769231
55,0.0,0.0,0.0
60,0.0,0.0,0.0
65,0.0,0.0,0.0
70,0.0,0.0,0.0
75,0.0,0.0,0.0
80,0.0,0.0,0.0
85,0.0,0.0,0.0
