threshold,all,giraffes,zebras
40,3357.518181818182,183.75,3183.235294117647
45,3270.621052631579,166.25,3120.0
50,3264.6567164179105,170.85714285714286,3136.4666666666667
55,2568.285714285714,144.0,2532.114285714286
60,1993.25,128.33333333333334,2041.6666666666667
65,1317.5,113.4,1362.3076923076924
70,1179.6923076923076,109.33333333333333,1209.0
75,1264.4285714285713,112.0,1391.2
80,1053.0,144.0,1020.0
85,561.0,36.0,586.6666666666666
