,proportion,shares,total_attempts
A1MPVIKUZSN6SV,40.0,16.0,40.0
A1G52R64ZHQC0Q,40.0,8.0,20.0
A3BH9LOU9KV6T0,40.0,8.0,20.0
A7S7NXBJDK38M,40.0,8.0,20.0
A2HGSFG0CL508L,40.0,8.0,20.0
A1B6603A85SQ4J,40.0,16.0,40.0
A3CKBXOR5HZV78,40.0,8.0,20.0
AKNZOE1KJ6HKY,39.473684210526315,15.0,38.0
A1RHRS9B5JAX4C,38.75,31.0,80.0
A2U32BJMDNOU3H,38.69346733668342,77.0,199.0
A2R819T7EYBI95,38.333333333333336,23.0,60.0
A1G2YFYEK35MTC,37.83783783783784,98.0,259.0
A3EFGUFIGRPFBN,37.5,15.0,40.0
A3RR85PK3AV9TU,37.5,15.0,40.0
A3NVMR239QK4LA,36.87150837988827,66.0,179.0
A2D2Q1GXV9VN2A,36.81818181818182,81.0,220.0
A491WHP3DPYZN,35.8974358974359,28.0,78.0
A3JT6A5TH2M3J1,35.0,7.0,20.0
AGJS4FZ0O545R,35.0,14.0,40.0
A3OC0P2ZRWNGH,35.0,35.0,100.0
A10OESO5QUUAAI,35.0,7.0,20.0
A2E9NUZZ4S2VJ9,31.135225375626042,373.0,1198.0
A3IQUS44DMDH5J,30.76923076923077,12.0,39.0
A1XLZ5TQ0J8OYC,30.0,6.0,20.0
A3HDCFN9Z91DNH,30.0,6.0,20.0
AGKUZPBBPK7X9,30.0,12.0,40.0
A243U9BA8M2EY9,30.0,6.0,20.0
A1X1GFV9H8AGSL,30.0,6.0,20.0
A1X04W4VU2I2CY,30.0,60.0,200.0
A341FR20648KIN,30.0,42.0,140.0
AVX3SWFMBEPMZ,30.0,6.0,20.0
A36BO4J5XKUWUJ,30.0,6.0,20.0
A109NWRIY6EJ9E,30.0,6.0,20.0
A2YRYS17DU3A8R,29.41176470588235,100.0,340.0
A1YC9AI8GGMZTY,28.333333333333332,34.0,120.0
A2AQ2EQZBKSB8S,28.25,113.0,400.0
A20ZGR40MYCQO4,27.5,11.0,40.0
A1UWD16YST0Z08,27.5,11.0,40.0
AB1RF17U3HM3W,26.666666666666668,32.0,120.0
A24LC97AU3QC7G,26.25215889464594,152.0,579.0
A1SNVK3NGI2SJZ,26.0,26.0,100.0
A31XWXIA1FWEQL,25.628140703517587,51.0,199.0
A3L5LYNX1XAIP6,25.31645569620253,20.0,79.0
A2M3LVBUZLN8MO,25.0,5.0,20.0
A3UV8GGSK1BZ4V,25.0,10.0,40.0
A376F1W1MTY3J,25.0,85.0,340.0
A3GR8E062YUIYJ,25.0,5.0,20.0
A1XQE5Q35OH54B,25.0,20.0,80.0
A3LUETNYKSGBFY,25.0,5.0,20.0
A3RWGA5U2C08RV,25.0,15.0,60.0
AVRPML6ON00RT,25.0,5.0,20.0
A6T5R45WOLKEN,25.0,5.0,20.0
ARF0YRA4UT03C,25.0,5.0,20.0
AJRQ2D3MAXVB3,24.576271186440678,29.0,118.0
A3DU68Y5XD45LY,23.75,19.0,80.0
A1HBGAN6P9PCJW,22.5,9.0,40.0
A1CVAZJCFB74YE,20.0,8.0,40.0
AYUREWGFQG5JV,20.0,4.0,20.0
A31HTN0E9RTQK7,20.0,12.0,60.0
APO1EBH3QPZ7,20.0,4.0,20.0
A1NJ4WJJBMNWFB,20.0,4.0,20.0
A22KRF782ELLB0,20.0,4.0,20.0
AA8E9YA88M4YV,20.0,4.0,20.0
A21X5KZVJJ6DGL,20.0,4.0,20.0
A2O19SRDLSQDP6,20.0,4.0,20.0
A1DNCA025F4JA7,19.75,79.0,400.0
A22RFAHCFQPJBF,15.789473684210526,3.0,19.0
A29IM5B36332PQ,15.0,3.0,20.0
A30PHZ5FWWPUDH,15.0,3.0,20.0
A2TW8OF3K3EQ84,8.860759493670885,7.0,79.0
A20MX2GRMYZ3BO,5.0,1.0,20.0
