threshold,all,giraffes,zebras
40,3573.984375,173.4,3429.6610169491523
45,3571.7894736842104,168.33333333333334,3429.6761904761906
50,3488.123076923077,249.0,3257.064516129032
55,5098.333333333333,294.0,4809.625
60,0.0,0.0,0.0
65,0.0,0.0,0.0
70,0.0,0.0,0.0
75,0.0,0.0,0.0
80,0.0,0.0,0.0
85,0.0,0.0,0.0
