threshold,all,giraffes,zebras
40,3620.9302325581393,176.8,3468.3529411764707
45,3620.9302325581393,176.8,3468.3529411764707
50,3133.5652173913045,175.1,2978.4761904761904
55,276.0,176.0,34680.0
60,36200.0,1770.0,34680.0
65,36200.0,1770.0,34680.0
70,36200.0,1770.0,34680.0
75,36200.0,1770.0,34680.0
80,36200.0,1770.0,34680.0
85,36200.0,1770.0,34680.0
