threshold,all,giraffes,zebras
40,3318.5185185185187,271.6,3058.4271844660193
45,3078.865979381443,254.8,2833.728260869565
50,3107.744680851064,254.8,2860.7865168539324
55,3054.178082191781,243.0,2816.4347826086955
60,2957.450704225352,243.0,2719.134328358209
65,3335.3414634146343,192.5,3178.0
70,3282.457142857143,192.5,3140.1290322580644
75,2332.777777777778,147.0,2226.4
80,2119.6875,147.0,2013.8461538461538
85,1615.0,204.0,1399.4285714285713
