GID,Shared,Not Shared,Total,Proportion
4843,4,6,10,40.0
4778,4,6,10,40.0
5716,4,6,10,40.0
4966,4,6,10,40.0
2466,4,6,10,40.0
2711,4,6,10,40.0
270,4,6,10,40.0
1112,4,6,10,40.0
1289,4,6,10,40.0
8346,16,24,40,40.0
2639,4,6,10,40.0
259,4,6,10,40.0
2470,4,6,10,40.0
5571,4,6,10,40.0
5002,12,18,30,40.0
5751,4,6,10,40.0
8422,4,6,10,40.0
727,4,6,10,40.0
5739,8,12,20,40.0
2444,4,6,10,40.0
8899,4,6,10,40.0
1930,4,6,10,40.0
167,4,6,10,40.0
4754,4,6,10,40.0
2442,4,6,10,40.0
1793,7,11,18,38.888888888888886
362,11,18,29,37.93103448275862
705,11,18,29,37.93103448275862
1844,3,5,8,37.5
1292,3,5,8,37.5
1993,3,5,8,37.5
559,3,5,8,37.5
4914,11,19,30,36.666666666666664
7763,7,13,20,35.0
8320,7,13,20,35.0
2451,7,13,20,35.0
841,7,13,20,35.0
7797,7,13,20,35.0
5226,7,13,20,35.0
4968,7,13,20,35.0
4925,7,13,20,35.0
556,7,13,20,35.0
734,10,19,29,34.48275862068966
9231,3,6,9,33.333333333333336
8723,3,6,9,33.333333333333336
1071,3,6,9,33.333333333333336
3305,3,6,9,33.333333333333336
3275,3,6,9,33.333333333333336
8318,18,40,58,31.03448275862069
8689,3,7,10,30.0
838,3,7,10,30.0
1242,3,7,10,30.0
8861,3,7,10,30.0
967,3,7,10,30.0
7519,3,7,10,30.0
988,3,7,10,30.0
1846,3,7,10,30.0
174,3,7,10,30.0
865,3,7,10,30.0
1796,3,7,10,30.0
8624,3,7,10,30.0
730,3,7,10,30.0
860,3,7,10,30.0
859,3,7,10,30.0
3354,3,7,10,30.0
7353,3,7,10,30.0
8479,3,7,10,30.0
1016,3,7,10,30.0
8461,3,7,10,30.0
8111,3,7,10,30.0
7758,3,7,10,30.0
3328,6,14,20,30.0
3113,3,7,10,30.0
3107,3,7,10,30.0
7877,3,7,10,30.0
2235,3,7,10,30.0
8244,3,7,10,30.0
3096,3,7,10,30.0
7907,3,7,10,30.0
7910,3,7,10,30.0
1154,3,7,10,30.0
2281,3,7,10,30.0
8225,3,7,10,30.0
794,3,7,10,30.0
303,3,7,10,30.0
2359,3,7,10,30.0
1115,3,7,10,30.0
9306,3,7,10,30.0
2440,3,7,10,30.0
1107,3,7,10,30.0
8025,3,7,10,30.0
8128,3,7,10,30.0
2796,3,7,10,30.0
2735,3,7,10,30.0
7861,6,14,20,30.0
3115,6,14,20,30.0
1922,3,7,10,30.0
2164,3,7,10,30.0
8344,3,7,10,30.0
8338,6,14,20,30.0
8336,9,21,30,30.0
1178,3,7,10,30.0
953,3,7,10,30.0
7674,3,7,10,30.0
328,3,7,10,30.0
7687,3,7,10,30.0
8967,3,7,10,30.0
1983,3,7,10,30.0
3246,3,7,10,30.0
8109,3,7,10,30.0
1170,3,7,10,30.0
9048,3,7,10,30.0
1167,3,7,10,30.0
2086,3,7,10,30.0
7791,3,7,10,30.0
213,3,7,10,30.0
1044,3,7,10,30.0
7801,3,7,10,30.0
7835,3,7,10,30.0
8807,3,7,10,30.0
5081,3,7,10,30.0
526,3,7,10,30.0
4075,3,7,10,30.0
4432,3,7,10,30.0
5762,3,7,10,30.0
6811,3,7,10,30.0
6179,3,7,10,30.0
6759,3,7,10,30.0
5761,3,7,10,30.0
4996,6,14,20,30.0
3922,3,7,10,30.0
543,3,7,10,30.0
5691,3,7,10,30.0
4723,3,7,10,30.0
4420,3,7,10,30.0
5741,3,7,10,30.0
5240,3,7,10,30.0
5727,3,7,10,30.0
3965,3,7,10,30.0
4941,3,7,10,30.0
6585,3,7,10,30.0
4825,3,7,10,30.0
628,6,14,20,30.0
399,12,28,40,30.0
5700,3,7,10,30.0
480,3,7,10,30.0
481,6,14,20,30.0
404,3,7,10,30.0
6642,3,7,10,30.0
5701,3,7,10,30.0
59,3,7,10,30.0
380,3,7,10,30.0
5020,3,7,10,30.0
4669,3,7,10,30.0
51,3,7,10,30.0
561,3,7,10,30.0
56,6,14,20,30.0
4584,3,7,10,30.0
6505,3,7,10,30.0
4592,3,7,10,30.0
7017,3,7,10,30.0
701,3,7,10,30.0
5054,3,7,10,30.0
4900,6,14,20,30.0
5557,3,7,10,30.0
4544,3,7,10,30.0
5530,3,7,10,30.0
43,3,7,10,30.0
3727,3,7,10,30.0
374,6,14,20,30.0
4886,3,7,10,30.0
5155,3,7,10,30.0
431,3,7,10,30.0
5171,3,7,10,30.0
655,3,7,10,30.0
5186,3,7,10,30.0
4870,6,14,20,30.0
3792,3,7,10,30.0
5470,3,7,10,30.0
5310,3,7,10,30.0
394,8,22,30,26.666666666666668
7754,5,14,19,26.31578947368421
359,5,14,19,26.31578947368421
4982,5,15,20,25.0
3106,5,15,20,25.0
7945,5,15,20,25.0
7977,5,15,20,25.0
975,5,15,20,25.0
8065,2,7,9,22.22222222222222
8038,2,7,9,22.22222222222222
1988,2,7,9,22.22222222222222
1886,2,7,9,22.22222222222222
7361,2,7,9,22.22222222222222
657,2,7,9,22.22222222222222
5684,2,7,9,22.22222222222222
5695,2,7,9,22.22222222222222
7753,4,15,19,21.05263157894737
7759,4,15,19,21.05263157894737
352,6,23,29,20.689655172413794
8321,8,31,39,20.512820512820515
4881,2,8,10,20.0
2200,2,8,10,20.0
8081,2,8,10,20.0
4887,4,16,20,20.0
8076,2,8,10,20.0
565,2,8,10,20.0
2808,2,8,10,20.0
5648,2,8,10,20.0
4615,2,8,10,20.0
4623,2,8,10,20.0
8098,2,8,10,20.0
467,2,8,10,20.0
2020,2,8,10,20.0
5683,2,8,10,20.0
4712,2,8,10,20.0
4829,2,8,10,20.0
2611,2,8,10,20.0
477,2,8,10,20.0
215,2,8,10,20.0
2252,2,8,10,20.0
2248,2,8,10,20.0
1937,2,8,10,20.0
8254,2,8,10,20.0
2172,2,8,10,20.0
4891,2,8,10,20.0
1760,2,8,10,20.0
4893,4,16,20,20.0
8982,2,8,10,20.0
1168,2,8,10,20.0
1162,2,8,10,20.0
909,2,8,10,20.0
9090,2,8,10,20.0
5231,2,8,10,20.0
1123,2,8,10,20.0
5214,2,8,10,20.0
919,2,8,10,20.0
920,2,8,10,20.0
502,2,8,10,20.0
9228,2,8,10,20.0
5197,2,8,10,20.0
1091,2,8,10,20.0
1087,2,8,10,20.0
9382,2,8,10,20.0
955,2,8,10,20.0
5146,2,8,10,20.0
965,4,16,20,20.0
5139,2,8,10,20.0
974,4,16,20,20.0
977,2,8,10,20.0
101,2,8,10,20.0
1003,2,8,10,20.0
5071,2,8,10,20.0
991,2,8,10,20.0
1171,2,8,10,20.0
4992,2,8,10,20.0
560,2,8,10,20.0
5279,2,8,10,20.0
558,2,8,10,20.0
4918,2,8,10,20.0
1800,2,8,10,20.0
8451,2,8,10,20.0
55,2,8,10,20.0
8474,2,8,10,20.0
5496,2,8,10,20.0
5488,2,8,10,20.0
5463,2,8,10,20.0
858,2,8,10,20.0
4926,6,24,30,20.0
5458,2,8,10,20.0
866,2,8,10,20.0
5423,2,8,10,20.0
54,6,24,30,20.0
5377,2,8,10,20.0
5369,4,16,20,20.0
13,2,8,10,20.0
4970,4,16,20,20.0
1275,2,8,10,20.0
8868,2,8,10,20.0
4981,2,8,10,20.0
1251,2,8,10,20.0
4985,6,24,30,20.0
4986,4,16,20,20.0
283,2,8,10,20.0
10,4,16,20,20.0
6138,2,8,10,20.0
428,2,8,10,20.0
7891,2,8,10,20.0
7692,2,8,10,20.0
7732,2,8,10,20.0
4487,2,8,10,20.0
793,2,8,10,20.0
3239,2,8,10,20.0
7746,2,8,10,20.0
4187,2,8,10,20.0
7782,2,8,10,20.0
3300,2,8,10,20.0
4421,2,8,10,20.0
7786,2,8,10,20.0
4289,2,8,10,20.0
4296,2,8,10,20.0
7799,2,8,10,20.0
7803,2,8,10,20.0
3127,2,8,10,20.0
7828,2,8,10,20.0
4049,2,8,10,20.0
7843,2,8,10,20.0
302,2,8,10,20.0
7520,2,8,10,20.0
350,2,8,10,20.0
700,2,8,10,20.0
7347,2,8,10,20.0
6916,2,8,10,20.0
455,2,8,10,20.0
400,4,16,20,20.0
3371,2,8,10,20.0
739,2,8,10,20.0
7562,2,8,10,20.0
7960,2,8,10,20.0
5076,2,8,10,20.0
4507,2,8,10,20.0
760,2,8,10,20.0
3325,2,8,10,20.0
8341,7,33,40,17.5
4895,3,17,20,15.0
5178,3,17,20,15.0
954,3,17,20,15.0
4977,3,17,20,15.0
4979,3,17,20,15.0
372,6,34,40,15.0
8003,3,17,20,15.0
8566,3,17,20,15.0
1959,1,7,8,12.5
1583,1,7,8,12.5
5501,1,8,9,11.11111111111111
3235,1,8,9,11.11111111111111
1957,2,16,18,11.11111111111111
2714,1,8,9,11.11111111111111
7742,1,8,9,11.11111111111111
3187,1,8,9,11.11111111111111
3272,1,8,9,11.11111111111111
8037,1,8,9,11.11111111111111
7760,1,8,9,11.11111111111111
8347,3,26,29,10.344827586206897
3231,1,9,10,10.0
7741,1,9,10,10.0
4759,1,9,10,10.0
3458,1,9,10,10.0
5379,1,9,10,10.0
5160,1,9,10,10.0
952,2,18,20,10.0
4946,1,9,10,10.0
9323,1,9,10,10.0
5184,1,9,10,10.0
8713,1,9,10,10.0
4488,1,9,10,10.0
5425,1,9,10,10.0
7983,1,9,10,10.0
5165,1,9,10,10.0
4929,1,9,10,10.0
5183,1,9,10,10.0
4974,1,9,10,10.0
5451,1,9,10,10.0
6186,1,9,10,10.0
5039,1,9,10,10.0
2645,1,9,10,10.0
5466,1,9,10,10.0
8579,1,9,10,10.0
4556,1,9,10,10.0
5450,2,18,20,10.0
4371,1,9,10,10.0
4550,1,9,10,10.0
4649,1,9,10,10.0
1175,1,9,10,10.0
3854,1,9,10,10.0
1172,1,9,10,10.0
4489,1,9,10,10.0
46,1,9,10,10.0
7592,1,9,10,10.0
6704,1,9,10,10.0
9065,1,9,10,10.0
907,1,9,10,10.0
6706,1,9,10,10.0
460,1,9,10,10.0
1161,1,9,10,10.0
1155,1,9,10,10.0
6708,1,9,10,10.0
1148,1,9,10,10.0
1176,1,9,10,10.0
6828,1,9,10,10.0
7634,1,9,10,10.0
2793,1,9,10,10.0
659,1,9,10,10.0
1273,1,9,10,10.0
884,1,9,10,10.0
738,1,9,10,10.0
464,1,9,10,10.0
9258,1,9,10,10.0
9236,1,9,10,10.0
5263,1,9,10,10.0
4072,1,9,10,10.0
3404,3,27,30,10.0
5779,1,9,10,10.0
1243,1,9,10,10.0
6660,1,9,10,10.0
5212,1,9,10,10.0
129,1,9,10,10.0
656,1,9,10,10.0
5134,1,9,10,10.0
7837,1,9,10,10.0
5070,1,9,10,10.0
63,1,9,10,10.0
4319,1,9,10,10.0
4746,1,9,10,10.0
5693,1,9,10,10.0
4313,1,9,10,10.0
633,1,9,10,10.0
4304,1,9,10,10.0
8186,1,9,10,10.0
8184,1,9,10,10.0
2049,1,9,10,10.0
4830,1,9,10,10.0
4310,1,9,10,10.0
2454,1,9,10,10.0
7990,1,9,10,10.0
5702,1,9,10,10.0
4323,1,9,10,10.0
2173,1,9,10,10.0
7874,1,9,10,10.0
983,2,18,20,10.0
4324,1,9,10,10.0
4785,1,9,10,10.0
4750,1,9,10,10.0
368,1,9,10,10.0
7270,1,9,10,10.0
592,1,9,10,10.0
4767,1,9,10,10.0
713,1,9,10,10.0
62,1,9,10,10.0
716,1,9,10,10.0
24,1,9,10,10.0
4309,1,9,10,10.0
1150,1,9,10,10.0
8333,1,9,10,10.0
7783,1,9,10,10.0
1024,1,9,10,10.0
652,1,9,10,10.0
8387,1,9,10,10.0
651,1,9,10,10.0
648,1,9,10,10.0
102,1,9,10,10.0
7331,1,9,10,10.0
8349,4,36,40,10.0
3092,1,9,10,10.0
8163,1,9,10,10.0
2537,1,9,10,10.0
5145,1,9,10,10.0
25,1,9,10,10.0
4732,1,9,10,10.0
973,2,18,20,10.0
8348,2,27,29,6.896551724137931
3240,1,19,20,5.0
5704,1,19,20,5.0
5238,1,19,20,5.0
4993,1,19,20,5.0
4940,1,19,20,5.0
4922,1,19,20,5.0
979,1,19,20,5.0
503,1,27,28,3.5714285714285716
5144,0,10,10,0.0
1088,0,10,10,0.0
4564,0,10,10,0.0
961,0,20,20,0.0
7309,0,10,10,0.0
9167,0,10,10,0.0
3755,0,10,10,0.0
9386,0,20,20,0.0
600,0,10,10,0.0
4523,0,10,10,0.0
7315,0,10,10,0.0
3857,0,10,10,0.0
7340,0,10,10,0.0
743,0,10,10,0.0
1090,0,10,10,0.0
972,0,10,10,0.0
1081,0,10,10,0.0
982,0,10,10,0.0
7404,0,10,10,0.0
981,0,10,10,0.0
92,0,10,10,0.0
969,0,10,10,0.0
7326,0,10,10,0.0
7312,0,10,10,0.0
7367,0,10,10,0.0
375,0,10,10,0.0
408,0,10,10,0.0
1152,0,10,10,0.0
4742,0,10,10,0.0
3220,0,10,10,0.0
3219,0,19,19,0.0
5534,0,10,10,0.0
5560,0,10,10,0.0
321,0,10,10,0.0
1913,0,10,10,0.0
4896,0,10,10,0.0
2607,0,10,10,0.0
5615,0,10,10,0.0
5617,0,10,10,0.0
5618,0,10,10,0.0
8340,0,28,28,0.0
7784,0,10,10,0.0
4745,0,10,10,0.0
9066,0,10,10,0.0
487,0,9,9,0.0
3142,0,10,10,0.0
5692,0,20,20,0.0
5697,0,9,9,0.0
6244,0,10,10,0.0
6238,0,10,10,0.0
6218,0,10,10,0.0
6217,0,10,10,0.0
7878,0,10,10,0.0
5717,0,20,20,0.0
4345,0,10,10,0.0
4763,0,10,10,0.0
5734,0,20,20,0.0
3222,0,9,9,0.0
619,0,20,20,0.0
4923,0,10,10,0.0
3229,0,10,10,0.0
5781,0,10,10,0.0
525,0,10,10,0.0
1173,0,10,10,0.0
3326,0,10,10,0.0
809,0,10,10,0.0
3320,0,10,10,0.0
2718,0,9,9,0.0
660,0,9,9,0.0
5778,0,10,10,0.0
1264,0,10,10,0.0
1265,0,10,10,0.0
1268,0,10,10,0.0
1270,0,10,10,0.0
3273,0,10,10,0.0
1298,0,8,8,0.0
5364,0,10,10,0.0
1342,0,8,8,0.0
6565,0,10,10,0.0
3241,0,10,10,0.0
4939,0,10,10,0.0
4938,0,10,10,0.0
5446,0,10,10,0.0
3236,0,10,10,0.0
8549,0,10,10,0.0
7751,0,9,9,0.0
5482,0,10,10,0.0
7752,0,8,8,0.0
5718,0,9,9,0.0
