GID,Shared,Not Shared,Total,Proportion
2403,9,1,10,90.0
2399,9,1,10,90.0
4279,9,1,10,90.0
956,9,1,10,90.0
7640,9,1,10,90.0
461,9,1,10,90.0
1041,9,1,10,90.0
579,9,1,10,90.0
583,18,2,20,90.0
7933,27,3,30,90.0
586,9,1,10,90.0
6698,9,1,10,90.0
591,9,1,10,90.0
4,9,1,10,90.0
2026,9,1,10,90.0
2031,9,1,10,90.0
8167,9,1,10,90.0
607,9,1,10,90.0
2531,9,1,10,90.0
2525,9,1,10,90.0
3293,9,1,10,90.0
331,9,1,10,90.0
177,9,1,10,90.0
7962,9,1,10,90.0
876,9,1,10,90.0
900,9,1,10,90.0
4872,18,2,20,90.0
1281,9,1,10,90.0
3151,9,1,10,90.0
7904,9,1,10,90.0
877,9,1,10,90.0
7282,9,1,10,90.0
551,9,1,10,90.0
15,9,1,10,90.0
3451,9,1,10,90.0
897,9,1,10,90.0
7749,9,1,10,90.0
8829,9,1,10,90.0
1341,9,1,10,90.0
4878,9,1,10,90.0
3398,9,1,10,90.0
346,27,3,30,90.0
3407,18,2,20,90.0
7867,9,1,10,90.0
4902,9,1,10,90.0
8792,9,1,10,90.0
7301,9,1,10,90.0
4901,18,2,20,90.0
344,9,1,10,90.0
4874,9,1,10,90.0
643,9,1,10,90.0
889,9,1,10,90.0
7410,9,1,10,90.0
3073,9,1,10,90.0
3419,9,1,10,90.0
3078,18,2,20,90.0
3165,9,1,10,90.0
5397,9,1,10,90.0
5399,9,1,10,90.0
5434,9,1,10,90.0
912,9,1,10,90.0
542,9,1,10,90.0
3121,9,1,10,90.0
355,9,1,10,90.0
120,9,1,10,90.0
3086,9,1,10,90.0
341,9,1,10,90.0
1860,8,1,9,88.88888888888889
1595,8,1,9,88.88888888888889
2559,8,1,9,88.88888888888889
1579,8,1,9,88.88888888888889
8772,8,1,9,88.88888888888889
630,7,1,8,87.5
8325,35,5,40,87.5
4913,26,4,30,86.66666666666667
34,26,4,30,86.66666666666667
550,17,3,20,85.0
312,17,3,20,85.0
7776,17,3,20,85.0
363,17,3,20,85.0
485,17,3,20,85.0
3462,17,3,20,85.0
3226,17,3,20,85.0
3434,17,3,20,85.0
3416,17,3,20,85.0
4877,17,3,20,85.0
4897,17,3,20,85.0
393,16,3,19,84.21052631578948
386,25,5,30,83.33333333333333
3131,25,5,30,83.33333333333333
