num_images,zebras,zebra_confidence
2,0.0,
3,0.0,
4,0.0,
5,0.0,
6,0.0,
7,2146.1919451903645,1098.0
8,0.0,
9,4517.789370920251,2310.0
10,0.0,
11,3016.4342690004037,1542.0
12,0.0,
13,0.0,
14,9894.067575269537,5056.0
15,0.0,
16,0.0,
17,5659.48090905871,2895.0
18,4207.437449173916,2154.6666666666665
19,2107.4624294871783,1080.75
20,3669.4486622030836,1883.2
21,3285.4171139293717,1683.75
22,2875.6692515906625,1475.2
23,3539.757829456699,1808.0
24,2854.7263748387513,1461.0
25,4029.511446031144,2066.4
26,4624.60245175734,2366.0
27,4870.580676018004,2492.0
28,4683.386779543197,2398.5
29,3500.5104783731185,1795.5
30,2537.903909216423,1306.4
31,4265.315523417231,2185.2
32,3107.164316078426,1597.3333333333333
33,4228.2751787536245,2165.8
34,3967.009011736676,2032.0
35,4248.26733320774,2176.0
36,2941.901075359265,1510.5
37,3901.2902702567517,2004.0
38,3534.95697166684,1817.1
39,2976.9577006744553,1528.888888888889
40,3771.549071668033,1934.2857142857142
41,4036.5675378965234,2070.0
42,3836.6087575357487,1971.0
43,3911.756610242741,2008.3333333333333
44,4855.337901372056,2490.75
45,4824.7770923754715,2476.6666666666665
46,5286.043601598458,2711.5
47,3248.657281770424,1666.0
48,3432.28428576422,1762.2
49,6367.418741994593,3259.2
50,4660.192976783687,2393.2
51,3858.2752349354205,1985.076923076923
52,3002.7385667164367,1542.5454545454545
53,3020.104679034671,1554.9333333333334
54,4781.678779861501,2452.6666666666665
55,3476.328627522511,1787.6923076923076
56,5367.0528092965305,2753.3333333333335
57,3133.3124914767827,1609.6666666666667
58,4214.184856823355,2166.153846153846
59,4092.04524850681,2109.3888888888887
60,4395.633341736119,2259.230769230769
61,3342.3518306193387,1725.904761904762
62,3232.3155293108375,1663.2
63,3887.734698876311,2008.695652173913
64,3463.5944146928364,1785.7368421052631
65,3118.5740034676105,1608.2
66,5034.702888010259,2584.2727272727275
67,3924.2225905058795,2020.235294117647
68,3788.594318741451,1946.0
69,4498.511199847542,2313.733333333333
70,5136.9701046065375,2638.4615384615386
71,3561.973107035801,1838.4545454545455
72,3573.0576765992037,1839.0588235294117
73,3792.4536302504744,1952.0
74,4840.034648764866,2496.0476190476193
