num_images,zebras,zebra_confidence
2,0.0,
3,0.0,
4,0.0,
5,0.0,
6,1109.3530741833279,568.0
7,1591.5006895380222,816.0
8,2778.291530851289,1421.0
9,1846.3158386364994,944.0
10,3766.1296721169865,1926.0
11,2508.780859301984,1285.0
12,0.0,
13,0.0,
14,2477.4275949056514,1268.0
15,2414.710255662157,1235.5
16,0.0,
17,7614.593693691082,3890.0
18,7771.393820930708,3970.0
19,1940.39381312145,992.5
20,2210.381575022738,1137.2857142857142
21,1797.318931297392,918.0
22,4787.277430857753,2450.0
23,1618.6259165655842,828.3333333333334
24,4144.760907331567,2125.2
25,5692.142286126648,2912.6666666666665
26,2577.3813687539528,1320.0
27,2575.9964963454436,1320.8
28,4671.012785123157,2395.2
29,10818.203975891745,5529.0
30,4088.913949779819,2095.2
31,2886.0334457521453,1482.5
32,3198.51727994761,1644.4444444444443
33,4244.147341487569,2174.4
34,3284.3472908302497,1682.2
35,5363.108514052648,2746.8
36,7088.794165251238,3628.25
37,2399.729976606743,1231.875
38,3220.0969028897252,1651.4285714285713
39,4852.0530978133365,2488.5714285714284
40,4414.562457684793,2263.8571428571427
41,6059.282226798814,3105.0
42,2647.6985280231584,1360.4
43,3606.3467387371393,1850.0
44,5546.732126793217,2844.0
45,4211.748114967941,2163.4
46,3767.985303846075,1937.5
47,6087.529212882349,3116.4
48,4220.18279229514,2167.2
49,3214.9446232830915,1651.8181818181818
50,5100.096361405831,2615.625
51,3481.7898110023816,1793.0
52,4891.08565126394,2511.0
53,3133.527857591823,1612.8
54,3325.9900622822074,1712.0
55,2944.1885449017805,1518.2222222222222
56,4430.527542268528,2271.5
57,3923.4759269137367,2023.388888888889
58,4101.214644273085,2106.0
59,3164.038411686084,1629.375
60,5281.742050855738,2713.8333333333335
61,3932.705492338252,2021.5384615384614
62,3403.1493734879764,1753.888888888889
63,3645.3892412196533,1880.0
64,4867.06255695363,2499.75
65,3785.6917886231513,1951.578947368421
66,3935.6504046696014,2029.6
67,3183.0039120985334,1639.5555555555557
68,5150.385811087947,2651.3529411764707
69,4360.526649665645,2245.3529411764707
70,3900.878445883215,2006.8125
71,4001.0578084955805,2060.4444444444443
72,3061.858221972436,1576.235294117647
73,3843.379587810707,1980.0
74,3787.226761582206,1949.3333333333333
