threshold,all,giraffes,zebras
40,3146.218487394958,221.71428571428572,2932.3125
45,3176.956989247312,289.25,2912.4606741573034
50,3157.6559139784945,289.25,2892.9662921348313
55,2889.825,249.0,2653.934210526316
60,2874.3076923076924,243.0,2636.9189189189187
65,3261.6585365853657,271.3333333333333,3007.2631578947367
70,3200.6052631578946,267.6666666666667,2952.2
75,3164.8,247.5,2972.3076923076924
80,2783.846153846154,247.5,2598.4545454545455
85,1689.3333333333333,210.0,1480.0
90,1701.0,204.0,1560.0
