num_images,all,giraffes,zebras
2,550.0,22.0,780.0
3,1189.0,8.0,0.0
4,3472.0,14.0,0.0
5,2315.3333333333335,26.0,2970.0
6,8670.0,62.0,0.0
7,2664.75,23.0,3061.3333333333335
8,2780.75,37.0,4629.5
9,1851.111111111111,64.0,1970.5714285714287
10,3059.0,62.0,3162.4
11,2402.4,68.0,2583.0
12,3085.714285714286,117.5,3472.0
13,6512.0,44.0,7626.666666666667
14,2612.076923076923,114.0,2448.0
15,2829.1666666666665,84.0,2901.6
16,2528.1428571428573,92.0,2722.909090909091
17,2506.875,62.666666666666664,2672.6153846153848
18,3714.75,63.0,3944.4
19,4214.833333333333,90.0,4830.0
20,3274.222222222222,104.0,3197.8125
21,3592.0,54.0,3698.153846153846
22,2583.0434782608695,142.5,2452.3809523809523
23,2717.714285714286,162.0,2553.1
24,2838.391304347826,114.0,2912.0
25,2534.962962962963,93.33333333333333,2489.75
26,2499.0,101.5,2502.5
27,3260.0,142.5,3084.4347826086955
28,3251.2,140.0,3120.217391304348
29,3556.4,152.0,3519.318181818182
30,2611.4545454545455,138.0,2483.7
31,3527.32,206.5,3330.2608695652175
32,2779.764705882353,155.25,2655.3
33,3981.521739130435,195.0,3794.285714285714
34,3330.0,126.0,3325.0714285714284
35,2753.9473684210525,162.5,2556.6666666666665
36,2945.390243902439,102.2,2944.5833333333335
37,3972.423076923077,142.0,4026.2727272727275
38,2871.0,140.0,2692.3333333333335
39,2886.4736842105262,156.33333333333334,2739.2571428571428
40,3344.0,104.0,3401.6129032258063
41,2860.590909090909,103.5,2872.0526315789475
42,3574.945945945946,126.0,3521.212121212121
43,3207.4,171.0,3055.5
44,3128.3777777777777,315.0,2879.2558139534885
45,3530.5263157894738,165.0,3480.3333333333335
46,2912.7,166.5,2766.521739130435
47,3340.0,195.0,3182.048780487805
48,3693.268292682927,186.66666666666666,3524.2105263157896
49,2780.5283018867926,156.33333333333334,2641.52
50,3215.16,164.0,3146.1363636363635
51,3365.9574468085107,177.75,3204.5348837209303
52,4415.526315789473,231.0,4222.2
53,3878.318181818182,197.5,3715.525
54,3962.9767441860463,256.6666666666667,3732.7
55,4689.243243243243,175.5,4614.69696969697
56,3963.5555555555557,205.0,3804.7804878048782
57,3066.9333333333334,166.0,2958.1111111111113
58,3432.04,178.0,3248.0
59,3218.5263157894738,171.0,3066.1132075471696
60,3341.344827586207,193.66666666666666,3130.163636363636
61,3650.5263157894738,118.5,3633.8823529411766
62,3530.844827586207,222.75,3318.5185185185187
63,3744.3518518518517,294.0,3451.673076923077
64,3313.3333333333335,351.0,3047.25
65,3398.483870967742,193.5,3205.7586206896553
66,3705.2678571428573,194.4,3556.0
67,3463.621212121212,153.0,3321.3278688524592
68,3390.4126984126983,148.33333333333334,3285.2105263157896
69,3849.1454545454544,170.0,3724.42
70,3462.2903225806454,152.25,3282.9655172413795
71,3094.1739130434785,204.0,2906.296875
72,3254.4444444444443,206.4,3064.8358208955224
73,3223.2328767123286,180.0,3063.5373134328356
74,3300.0,147.42857142857142,3194.5454545454545
